Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7687 %	0.80885 %	0.835136 %	0.8434082 %	|	0.9756 %	0.98 %	0.9706 %	0.98 %	0.97105 %	0.956911 %	291114.67027664185
4000	100	16	|	576	-1	dot_product
0.7698 %	0.81009 %	0.837199 %	0.8471867 %	|	0.9778 %	0.9822 %	0.97388 %	0.9822 %	0.97434 %	0.961393 %	310593.60790252686
4000	100	16	|	640	-1	dot_product
0.771 %	0.81123 %	0.838843 %	0.8503429 %	|	0.9804 %	0.9848 %	0.97675 %	0.9848 %	0.97721 %	0.965197 %	330798.38824272156
4000	100	16	|	704	-1	dot_product
0.7717 %	0.8122 %	0.840172 %	0.8529453 %	|	0.9815 %	0.9861 %	0.9789 %	0.9861 %	0.97937 %	0.968413 %	348320.59049606323
4000	100	16	|	768	-1	dot_product
0.7726 %	0.81294 %	0.841389 %	0.8552193 %	|	0.9832 %	0.9878 %	0.98093 %	0.9878 %	0.98141 %	0.971312 %	363651.9892215729
4000	100	16	|	1024	-1	dot_product
0.7744 %	0.81525 %	0.844903 %	0.8616078 %	|	0.987 %	0.9917 %	0.98654 %	0.9917 %	0.98707 %	0.97984 %	424474.7676849365
4000	10	64	|	1	-1	dot_product
0.082 %	0.11967 %	0.144348 %	0.113669 %	|	0.2115 %	0.3041 %	0.24469 %	0.333 %	0.28911 %	0.218553 %	1440.4182434082031
4000	10	64	|	16	-1	dot_product
0.1183 %	0.17532 %	0.237311 %	0.2878841 %	|	0.3347 %	0.5695 %	0.44353 %	0.7204 %	0.65551 %	0.527535 %	6067.111015319824
4000	10	64	|	32	-1	dot_product
0.1199 %	0.17736 %	0.241842 %	0.303168 %	|	0.3398 %	0.5912 %	0.45572 %	0.7652 %	0.69512 %	0.5585 %	8757.866382598877
4000	10	64	|	64	-1	dot_product
0.1205 %	0.1781 %	0.243879 %	0.3112574 %	|	0.3419 %	0.6016 %	0.46134 %	0.7925 %	0.71869 %	0.57526 %	12656.8763256073
4000	10	64	|	128	-1	dot_product
0.1208 %	0.17834 %	0.244647 %	0.3150371 %	|	0.3423 %	0.6063 %	0.46335 %	0.8067 %	0.72995 %	0.583177 %	18653.7983417511
4000	10	64	|	256	-1	dot_product
0.121 %	0.17849 %	0.244959 %	0.3166528 %	|	0.3429 %	0.6082 %	0.46421 %	0.8147 %	0.73536 %	0.586823 %	27005.268812179565
4000	10	64	|	320	-1	dot_product
0.121 %	0.17849 %	0.244987 %	0.3169055 %	|	0.3429 %	0.6082 %	0.4643 %	0.8158 %	0.73599 %	0.587346 %	30208.96291732788
4000	10	64	|	384	-1	dot_product
0.121 %	0.17851 %	0.245011 %	0.3170548 %	|	0.343 %	0.6086 %	0.46441 %	0.8172 %	0.73683 %	0.58771 %	33313.81845474243
4000	10	64	|	448	-1	dot_product
0.121 %	0.17851 %	0.245026 %	0.3171327 %	|	0.343 %	0.6088 %	0.46446 %	0.8179 %	0.73741 %	0.587934 %	36368.38722229004
4000	10	64	|	512	-1	dot_product
0.121 %	0.1785 %	0.245037 %	0.317195 %	|	0.3429 %	0.6089 %	0.4645 %	0.8182 %	0.73764 %	0.588058 %	38921.72908782959
4000	10	64	|	576	-1	dot_product
0.121 %	0.17852 %	0.245039 %	0.3172393 %	|	0.343 %	0.609 %	0.46456 %	0.8187 %	0.73788 %	0.588144 %	41506.630182266235
4000	10	64	|	640	-1	dot_product
0.121 %	0.17852 %	0.245044 %	0.3172674 %	|	0.343 %	0.609 %	0.46456 %	0.8187 %	0.73808 %	0.588221 %	43977.734088897705
4000	10	64	|	704	-1	dot_product
0.121 %	0.17852 %	0.245047 %	0.3172896 %	|	0.343 %	0.609 %	0.46456 %	0.8188 %	0.73824 %	0.588275 %	46547.433376312256
4000	10	64	|	768	-1	dot_product
0.121 %	0.17853 %	0.245048 %	0.3173072 %	|	0.343 %	0.6091 %	0.46457 %	0.8191 %	0.73835 %	0.588309 %	48464.93601799011
4000	10	64	|	1024	-1	dot_product
0.121 %	0.17853 %	0.245053 %	0.3173401 %	|	0.343 %	0.6091 %	0.46459 %	0.819 %	0.73855 %	0.588388 %	56647.38869667053
4000	25	64	|	1	-1	dot_product
0.1782 %	0.20375 %	0.193726 %	0.127048 %	|	0.3045 %	0.3343 %	0.28882 %	0.3363 %	0.2956 %	0.228494 %	2455.4901123046875
4000	25	64	|	16	-1	dot_product
0.3245 %	0.38244 %	0.420711 %	0.4182928 %	|	0.6395 %	0.7576 %	0.67811 %	0.7748 %	0.73367 %	0.648707 %	13297.693967819214
4000	25	64	|	32	-1	dot_product
0.3362 %	0.39881 %	0.445291 %	0.4661905 %	|	0.6787 %	0.8178 %	0.73065 %	0.8411 %	0.80672 %	0.726281 %	19821.446418762207
4000	25	64	|	64	-1	dot_product
0.3467 %	0.40938 %	0.460415 %	0.4988551 %	|	0.7063 %	0.8637 %	0.7682 %	0.8951 %	0.8631 %	0.784989 %	29517.35258102417
4000	25	64	|	128	-1	dot_product
0.3519 %	0.41518 %	0.46994 %	0.5200215 %	|	0.7207 %	0.8928 %	0.79195 %	0.9308 %	0.90404 %	0.827426 %	43481.67967796326
4000	25	64	|	256	-1	dot_product
0.3559 %	0.4186 %	0.475563 %	0.5328561 %	|	0.732 %	0.9124 %	0.80732 %	0.9579 %	0.9338 %	0.856135 %	64310.98198890686
4000	25	64	|	320	-1	dot_product
0.3562 %	0.41924 %	0.476646 %	0.5357379 %	|	0.735 %	0.9166 %	0.81021 %	0.9641 %	0.94027 %	0.862977 %	73124.5927810669
4000	25	64	|	384	-1	dot_product
0.3566 %	0.41982 %	0.477483 %	0.5377514 %	|	0.7365 %	0.9196 %	0.81296 %	0.9684 %	0.94583 %	0.867821 %	80460.90507507324
4000	25	64	|	448	-1	dot_product
0.3567 %	0.42018 %	0.478146 %	0.5391787 %	|	0.7377 %	0.9226 %	0.81498 %	0.9726 %	0.94998 %	0.871492 %	87951.12729072571
4000	25	64	|	512	-1	dot_product
0.3569 %	0.42051 %	0.478611 %	0.5402719 %	|	0.7382 %	0.9238 %	0.81637 %	0.9743 %	0.95306 %	0.87436 %	94236.33193969727
4000	25	64	|	576	-1	dot_product
0.3572 %	0.42075 %	0.478962 %	0.5411038 %	|	0.7389 %	0.9253 %	0.81744 %	0.9764 %	0.95575 %	0.876569 %	99116.29509925842
4000	25	64	|	640	-1	dot_product
0.3573 %	0.42099 %	0.47924 %	0.5417749 %	|	0.7396 %	0.9269 %	0.8185 %	0.9786 %	0.95798 %	0.878385 %	104973.62089157104
4000	25	64	|	704	-1	dot_product
0.3574 %	0.4211 %	0.479434 %	0.5423299 %	|	0.7399 %	0.9277 %	0.81925 %	0.9799 %	0.95965 %	0.879903 %	112304.54421043396
4000	25	64	|	768	-1	dot_product
0.3575 %	0.42121 %	0.479577 %	0.5428027 %	|	0.7401 %	0.9283 %	0.81989 %	0.9815 %	0.96128 %	0.881199 %	116430.89985847473
4000	25	64	|	1024	-1	dot_product
0.3576 %	0.42152 %	0.480079 %	0.5441076 %	|	0.7409 %	0.9305 %	0.8214 %	0.9851 %	0.96525 %	0.884984 %	134851.4950275421
4000	50	64	|	1	-1	dot_product
0.2647 %	0.2692 %	0.221774 %	0.1316057 %	|	0.3349 %	0.3363 %	0.29561 %	0.3363 %	0.29565 %	0.228895 %	4129.551649093628
4000	50	64	|	16	-1	dot_product
0.5617 %	0.60538 %	0.592619 %	0.503005 %	|	0.7694 %	0.7752 %	0.73525 %	0.7752 %	0.7356 %	0.661035 %	25026.358366012573
4000	50	64	|	32	-1	dot_product
0.6001 %	0.64882 %	0.652104 %	0.5928409 %	|	0.8338 %	0.8421 %	0.80962 %	0.8421 %	0.8102 %	0.748764 %	37584.09881591797
4000	50	64	|	64	-1	dot_product
0.6282 %	0.6793 %	0.694224 %	0.6649954 %	|	0.8853 %	0.8967 %	0.86803 %	0.8967 %	0.86919 %	0.820986 %	56168.79963874817
4000	50	64	|	128	-1	dot_product
0.6472 %	0.69816 %	0.723202 %	0.718356 %	|	0.9203 %	0.9343 %	0.9121 %	0.9343 %	0.91376 %	0.879066 %	83096.34637832642
4000	50	64	|	256	-1	dot_product
0.6609 %	0.71092 %	0.742311 %	0.7546041 %	|	0.9457 %	0.962 %	0.94557 %	0.9621 %	0.94778 %	0.923879 %	121967.16499328613
4000	50	64	|	320	-1	dot_product
0.6632 %	0.71349 %	0.746866 %	0.7632542 %	|	0.9515 %	0.9685 %	0.95298 %	0.9686 %	0.95538 %	0.935514 %	137160.47501564026
4000	50	64	|	384	-1	dot_product
0.6654 %	0.71568 %	0.750025 %	0.7694201 %	|	0.9558 %	0.9734 %	0.95939 %	0.9735 %	0.96204 %	0.944197 %	151964.26224708557
4000	50	64	|	448	-1	dot_product
0.6669 %	0.71743 %	0.752417 %	0.7740737 %	|	0.9597 %	0.9781 %	0.96425 %	0.9782 %	0.96701 %	0.950902 %	164936.18941307068
4000	50	64	|	512	-1	dot_product
0.6678 %	0.71881 %	0.754298 %	0.777673 %	|	0.9613 %	0.9799 %	0.96813 %	0.98 %	0.97105 %	0.956439 %	177055.8624267578
4000	50	64	|	576	-1	dot_product
0.6687 %	0.71995 %	0.755788 %	0.7805285 %	|	0.9633 %	0.9821 %	0.97128 %	0.9822 %	0.97434 %	0.960892 %	189245.93591690063
4000	50	64	|	640	-1	dot_product
0.6693 %	0.72101 %	0.757058 %	0.7828847 %	|	0.9656 %	0.9847 %	0.97406 %	0.9848 %	0.97721 %	0.96466 %	201184.77535247803
4000	50	64	|	704	-1	dot_product
0.6698 %	0.7217 %	0.758016 %	0.7848564 %	|	0.9665 %	0.986 %	0.97615 %	0.9861 %	0.97937 %	0.967849 %	212059.56315994263
4000	50	64	|	768	-1	dot_product
0.6704 %	0.72232 %	0.758942 %	0.7865558 %	|	0.968 %	0.9877 %	0.9781 %	0.9878 %	0.98141 %	0.970717 %	221723.1640815735
4000	50	64	|	1024	-1	dot_product
0.6718 %	0.72374 %	0.761429 %	0.7913573 %	|	0.9714 %	0.9916 %	0.98353 %	0.9917 %	0.98707 %	0.979148 %	259034.57522392273
4000	100	64	|	1	-1	dot_product
0.3207 %	0.29238 %	0.228406 %	0.132326 %	|	0.3362 %	0.3363 %	0.29565 %	0.3363 %	0.29565 %	0.228895 %	7552.354335784912
4000	100	64	|	16	-1	dot_product
0.722 %	0.71335 %	0.654327 %	0.5208376 %	|	0.7751 %	0.7752 %	0.73559 %	0.7752 %	0.7356 %	0.661047 %	49142.10391044617
4000	100	64	|	32	-1	dot_product
0.779 %	0.77941 %	0.738029 %	0.6259961 %	|	0.842 %	0.8421 %	0.81019 %	0.8421 %	0.8102 %	0.748796 %	74621.00410461426
4000	100	64	|	64	-1	dot_product
0.8241 %	0.82935 %	0.804672 %	0.7199814 %	|	0.8966 %	0.8967 %	0.86918 %	0.8967 %	0.86919 %	0.821066 %	109290.93384742737
4000	100	64	|	128	-1	dot_product
0.853 %	0.86428 %	0.855385 %	0.7991325 %	|	0.9342 %	0.9343 %	0.91375 %	0.9343 %	0.91376 %	0.879252 %	161443.68052482605
4000	100	64	|	256	-1	dot_product
0.8746 %	0.88856 %	0.891371 %	0.860237 %	|	0.962 %	0.9621 %	0.94774 %	0.9621 %	0.94778 %	0.9242 %	238340.22426605225
4000	100	64	|	320	-1	dot_product
0.8797 %	0.89339 %	0.900077 %	0.8759274 %	|	0.9685 %	0.9686 %	0.95534 %	0.9686 %	0.95538 %	0.935901 %	268525.9153842926
4000	100	64	|	384	-1	dot_product
0.8835 %	0.89783 %	0.906222 %	0.8873242 %	|	0.9733 %	0.9735 %	0.962 %	0.9735 %	0.96204 %	0.944631 %	297508.99934768677
4000	100	64	|	448	-1	dot_product
0.8871 %	0.90084 %	0.910847 %	0.8960399 %	|	0.978 %	0.9782 %	0.96697 %	0.9782 %	0.96701 %	0.95139 %	324001.3711452484
4000	100	64	|	512	-1	dot_product
