Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7546 %	0.81742 %	0.853718 %	0.8772253 %	|	0.9986 %	1.0 %	0.99997 %	1.0 %	0.99999 %	0.999947 %	3855855.121612549
8000	64	256	|	704	-1	squared_l2
0.7546 %	0.81742 %	0.853722 %	0.8772389 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999963 %	4198412.051200867
8000	64	256	|	768	-1	squared_l2
0.7546 %	0.81742 %	0.853728 %	0.8772495 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999982 %	4546479.4063568115
8000	64	256	|	1024	-1	squared_l2
0.7546 %	0.81742 %	0.853731 %	0.8772664 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999996 %	5970466.794967651
8000	64	256	|	1280	-1	squared_l2
0.7546 %	0.81742 %	0.853731 %	0.8772709 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999999 %	-1
8000	64	256	|	1536	-1	squared_l2
0.7546 %	0.81742 %	0.853732 %	0.8772726 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	-1
8000	64	256	|	2048	-1	squared_l2
0.7546 %	0.81742 %	0.853732 %	0.8772734 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	-1
8000	32	256	|	1	-1	squared_l2
0.2916 %	0.34562 %	0.33343 %	0.2964665 %	|	0.4488 %	0.4547 %	0.41835 %	0.4548 %	0.41864 %	0.369746 %	21004.066467285156
8000	32	256	|	16	-1	squared_l2
0.4922 %	0.60543 %	0.653107 %	0.6778616 %	|	0.9041 %	0.9412 %	0.92319 %	0.9414 %	0.92769 %	0.896402 %	82985.21518707275
8000	32	256	|	32	-1	squared_l2
0.5019 %	0.61834 %	0.672674 %	0.7094776 %	|	0.9368 %	0.9778 %	0.9655 %	0.9781 %	0.97159 %	0.953517 %	144117.62237548828
8000	32	256	|	64	-1	squared_l2
0.5057 %	0.62273 %	0.680841 %	0.7244963 %	|	0.9483 %	0.9927 %	0.9834 %	0.9931 %	0.99045 %	0.982235 %	260217.8144454956
8000	32	256	|	128	-1	squared_l2
0.5064 %	0.62419 %	0.683599 %	0.73031 %	|	0.952 %	0.9982 %	0.98991 %	0.9986 %	0.9976 %	0.993955 %	480826.0917663574
8000	32	256	|	256	-1	squared_l2
0.5065 %	0.6245 %	0.684335 %	0.7320252 %	|	0.9528 %	0.9994 %	0.99178 %	0.9998 %	0.99963 %	0.997416 %	909208.4455490112
