Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.411 %	0.5218 %	0.58733 %	0.649144 %	|	0.87 %	0.993 %	0.9583 %	0.998 %	0.999 %	0.98782 %	211.01975440979004
2000	32	256	|	448	-1	squared_l2
0.411 %	0.5218 %	0.58734 %	0.649219 %	|	0.87 %	0.994 %	0.9584 %	0.999 %	0.9993 %	0.98819 %	225.96168518066406
2000	32	256	|	512	-1	squared_l2
0.411 %	0.5218 %	0.58734 %	0.649256 %	|	0.87 %	0.994 %	0.9584 %	0.999 %	0.9994 %	0.98833 %	225.8608341217041
2000	32	256	|	576	-1	squared_l2
0.411 %	0.5219 %	0.58735 %	0.649278 %	|	0.871 %	0.995 %	0.9585 %	1.0 %	0.9996 %	0.98841 %	231.6131591796875
2000	32	256	|	640	-1	squared_l2
0.411 %	0.5219 %	0.58735 %	0.649288 %	|	0.871 %	0.995 %	0.9585 %	1.0 %	0.9997 %	0.98845 %	249.13883209228516
2000	32	256	|	704	-1	squared_l2
0.411 %	0.5219 %	0.58735 %	0.649298 %	|	0.871 %	0.995 %	0.9585 %	1.0 %	0.9997 %	0.9885 %	282.1328639984131
2000	32	256	|	768	-1	squared_l2
0.411 %	0.5219 %	0.58736 %	0.649306 %	|	0.871 %	0.995 %	0.9586 %	1.0 %	0.9998 %	0.98853 %	291.51272773742676
2000	32	256	|	1024	-1	squared_l2
0.411 %	0.5219 %	0.58736 %	0.649307 %	|	0.871 %	0.995 %	0.9586 %	1.0 %	0.9998 %	0.98856 %	363.7990951538086
2000	32	256	|	1280	-1	squared_l2
0.411 %	0.5219 %	0.58736 %	0.649307 %	|	0.871 %	0.995 %	0.9586 %	1.0 %	0.9998 %	0.98856 %	430.26065826416016
2000	32	256	|	1536	-1	squared_l2
0.411 %	0.5219 %	0.58736 %	0.649306 %	|	0.871 %	0.995 %	0.9586 %	1.0 %	0.9998 %	0.98856 %	537.773847579956
2000	64	256	|	1	-1	squared_l2
0.312 %	0.2994 %	0.23403 %	0.130936 %	|	0.37 %	0.37 %	0.3122 %	0.37 %	0.3122 %	0.23552 %	120.30601501464844
2000	64	256	|	16	-1	squared_l2
0.64 %	0.7016 %	0.70796 %	0.624334 %	|	0.903 %	0.905 %	0.8615 %	0.905 %	0.8615 %	0.79043 %	130.5391788482666
2000	64	256	|	32	-1	squared_l2
0.659 %	0.7349 %	0.76245 %	0.73192 %	|	0.952 %	0.955 %	0.9327 %	0.955 %	0.9327 %	0.88775 %	134.9649429321289
2000	64	256	|	64	-1	squared_l2
0.67 %	0.7502 %	0.79077 %	0.795879 %	|	0.98 %	0.983 %	0.9734 %	0.983 %	0.9734 %	0.94993 %	143.6309814453125
2000	64	256	|	128	-1	squared_l2
0.676 %	0.7558 %	0.80273 %	0.826555 %	|	0.99 %	0.993 %	0.9921 %	0.993 %	0.9921 %	0.98241 %	160.56561470031738
2000	64	256	|	256	-1	squared_l2
0.677 %	0.7569 %	0.80663 %	0.838653 %	|	0.994 %	0.997 %	0.9984 %	0.997 %	0.9984 %	0.99588 %	207.89790153503418
2000	64	256	|	320	-1	squared_l2
0.677 %	0.7569 %	0.80698 %	0.840256 %	|	0.994 %	0.997 %	0.9985 %	0.997 %	0.9985 %	0.99763 %	221.64583206176758
2000	64	256	|	384	-1	squared_l2
0.677 %	0.7571 %	0.80715 %	0.841041 %	|	0.995 %	0.998 %	0.9992 %	0.998 %	0.9992 %	0.99858 %	249.59468841552734
2000	64	256	|	448	-1	squared_l2
0.677 %	0.7572 %	0.8073 %	0.841516 %	|	0.996 %	0.999 %	0.9995 %	0.999 %	0.9995 %	0.99919 %	264.2199993133545
2000	64	256	|	512	-1	squared_l2
0.677 %	0.7572 %	0.80736 %	0.841826 %	|	0.996 %	0.999 %	0.9996 %	0.999 %	0.9996 %	0.99943 %	278.1226634979248
2000	64	256	|	576	-1	squared_l2
0.677 %	0.7573 %	0.80739 %	0.842035 %	|	0.997 %	1.0 %	0.9998 %	1.0 %	0.9998 %	0.99963 %	313.2610321044922
2000	64	256	|	640	-1	squared_l2
0.677 %	0.7573 %	0.80739 %	0.842163 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.99968 %	337.27097511291504
2000	64	256	|	704	-1	squared_l2
0.677 %	0.7573 %	0.8074 %	0.842232 %	|	0.997 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.99982 %	357.4693202972412
2000	64	256	|	768	-1	squared_l2
0.677 %	0.7573 %	0.80744 %	0.842282 %	|	0.997 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99993 %	400.64454078674316
2000	64	256	|	1024	-1	squared_l2
0.677 %	0.7573 %	0.80745 %	0.842353 %	|	0.997 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99998 %	517.5478458404541
2000	64	256	|	1280	-1	squared_l2
0.677 %	0.7573 %	0.80745 %	0.842363 %	|	0.997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	715.7766819000244
2000	64	256	|	1536	-1	squared_l2
0.677 %	0.7573 %	0.80745 %	0.842365 %	|	0.997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	814.0425682067871
4000	32	256	|	1	-1	squared_l2
0.21 %	0.2322 %	0.17865 %	0.088275 %	|	0.316 %	0.319 %	0.2616 %	0.319 %	0.2616 %	0.18178 %	228.73234748840332
4000	32	256	|	16	-1	squared_l2
0.407 %	0.4962 %	0.52558 %	0.486223 %	|	0.789 %	0.842 %	0.8013 %	0.842 %	0.8075 %	0.71351 %	239.27712440490723
4000	32	256	|	32	-1	squared_l2
0.423 %	0.5153 %	0.56038 %	0.566816 %	|	0.842 %	0.922 %	0.8842 %	0.922 %	0.8976 %	0.82635 %	242.2468662261963
4000	32	256	|	64	-1	squared_l2
