Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.0519 %	0.49499 %	0.569933 %	0.3794039 %	|	0.5815 %	0.8417 %	0.8169 %	0.9165 %	0.9173 %	0.846708 %	304.1114807128906
800	0.2	20	|	75	-1	squared_l2
0.0523 %	0.4949 %	0.568166 %	0.374843 %	|	0.5819 %	0.8445 %	0.8183 %	0.9195 %	0.91981 %	0.845557 %	318.44091415405273
800	0.2	20	|	90	-1	squared_l2
0.0531 %	0.49465 %	0.564439 %	0.4071199 %	|	0.5828 %	0.8478 %	0.82015 %	0.9242 %	0.92308 %	0.842953 %	348.5400676727295
800	0.2	20	|	110	-1	squared_l2
0.054 %	0.49448 %	0.561233 %	0.4070577 %	|	0.5841 %	0.8513 %	0.82212 %	0.9297 %	0.92663 %	0.840651 %	379.8055648803711
800	0.2	20	|	130	-1	squared_l2
0.0544 %	0.49375 %	0.559372 %	0.3991519 %	|	0.5846 %	0.8531 %	0.82331 %	0.9331 %	0.92865 %	0.838781 %	418.2016849517822
800	0.2	20	|	150	-1	squared_l2
0.0551 %	0.49335 %	0.55823 %	0.3976337 %	|	0.5844 %	0.8557 %	0.82438 %	0.936 %	0.93072 %	0.836937 %	448.34399223327637
800	0.2	20	|	170	-1	squared_l2
0.0556 %	0.49292 %	0.557103 %	0.4023038 %	|	0.5846 %	0.8569 %	0.82555 %	0.939 %	0.93285 %	0.835279 %	482.5129508972168
800	0.2	20	|	200	-1	squared_l2
0.0561 %	0.49282 %	0.555896 %	0.3998445 %	|	0.5862 %	0.8623 %	0.828 %	0.9443 %	0.93602 %	0.833234 %	528.6247730255127
800	0.2	20	|	220	-1	squared_l2
0.0558 %	0.49269 %	0.554949 %	0.3980865 %	|	0.5865 %	0.8645 %	0.82907 %	0.9466 %	0.93791 %	0.832227 %	564.2409324645996
800	0.2	20	|	250	-1	squared_l2
0.0558 %	0.49208 %	0.553876 %	0.3950998 %	|	0.5872 %	0.8673 %	0.83009 %	0.9496 %	0.93968 %	0.83053 %	613.0843162536621
