Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
0.6339 %	0.73034 %	0.780008 %	0.8147818 %	|	0.9807 %	0.9972 %	0.99312 %	0.9988 %	0.99758 %	0.99506 %	190709.04278755188
7000	0.2	128	|	256	-1	squared_l2
0.634 %	0.73073 %	0.781098 %	0.8170875 %	|	0.9809 %	0.9976 %	0.99476 %	0.9992 %	0.99922 %	0.99808 %	372197.2017288208
7000	0.2	128	|	320	-1	squared_l2
0.634 %	0.73062 %	0.781213 %	0.8173526 %	|	0.9809 %	0.9976 %	0.99487 %	0.9992 %	0.99933 %	0.998378 %	461863.5222911835
7000	0.2	128	|	384	-1	squared_l2
0.634 %	0.73055 %	0.781267 %	0.8174894 %	|	0.9809 %	0.9976 %	0.99494 %	0.9992 %	0.9994 %	0.998512 %	551626.9416809082
7000	0.2	128	|	448	-1	squared_l2
0.634 %	0.73055 %	0.781269 %	0.8175587 %	|	0.981 %	0.9977 %	0.99496 %	0.9993 %	0.99942 %	0.998583 %	640899.2848396301
7000	0.2	128	|	512	-1	squared_l2
0.6339 %	0.73056 %	0.781272 %	0.8176021 %	|	0.981 %	0.9977 %	0.99497 %	0.9993 %	0.99943 %	0.998623 %	729407.623052597
7000	0.2	128	|	576	-1	squared_l2
0.6339 %	0.73056 %	0.781278 %	0.8176285 %	|	0.981 %	0.9977 %	0.99498 %	0.9993 %	0.99944 %	0.99865 %	817966.1862850189
7000	0.2	128	|	640	-1	squared_l2
0.6339 %	0.73055 %	0.781279 %	0.8176397 %	|	0.981 %	0.9977 %	0.99498 %	0.9993 %	0.99944 %	0.998665 %	906430.1602840424
7000	0.2	128	|	704	-1	squared_l2
0.6339 %	0.73055 %	0.781292 %	0.8176499 %	|	0.981 %	0.9977 %	0.99498 %	0.9993 %	0.99944 %	0.998674 %	994844.1879749298
7000	0.2	128	|	768	-1	squared_l2
0.6339 %	0.73055 %	0.7813 %	0.8176556 %	|	0.981 %	0.9977 %	0.99498 %	0.9993 %	0.99944 %	0.998686 %	1082799.5624542236
7000	0.2	128	|	1024	-1	squared_l2
0.6339 %	0.73055 %	0.781296 %	0.8176729 %	|	0.981 %	0.9977 %	0.99498 %	0.9993 %	0.99944 %	0.998698 %	1434191.7674541473
7000	0.2	128	|	1280	-1	squared_l2
0.6339 %	0.73054 %	0.7813 %	0.8176758 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998701 %	1783482.8944206238
7000	0.2	128	|	1536	-1	squared_l2
0.6339 %	0.73054 %	0.781295 %	0.8176763 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998702 %	2130242.097377777
7000	0.2	128	|	2048	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176745 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	2822474.4784832
7000	0.2	128	|	2560	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176743 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	3514031.2185287476
7000	0.2	128	|	3072	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	4209587.506532669
7000	0.2	128	|	4096	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	5617566.77365303
7000	0.2	128	|	4608	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	6338028.17440033
7000	0.2	128	|	5120	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	7059011.029005051
7000	0.2	128	|	5632	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	7792520.0481414795
7000	0.2	128	|	6144	-1	squared_l2
