Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.0996 %	0.25234 %	0.433559 %	0.5292337 %	|	0.3756 %	0.6878 %	0.62736 %	0.8262 %	0.81912 %	0.784743 %	155.6992530822754
800	0.2	20	|	30	-1	dot_product
0.1 %	0.25302 %	0.43422 %	0.5296639 %	|	0.377 %	0.6912 %	0.62952 %	0.8343 %	0.82438 %	0.787599 %	165.76480865478516
800	0.2	20	|	35	-1	dot_product
0.1 %	0.25321 %	0.434743 %	0.5299447 %	|	0.3775 %	0.6931 %	0.63095 %	0.8396 %	0.82824 %	0.789729 %	168.8711643218994
800	0.2	20	|	40	-1	dot_product
0.1 %	0.25349 %	0.435131 %	0.5301206 %	|	0.3775 %	0.6947 %	0.63205 %	0.8424 %	0.83093 %	0.791364 %	176.7275333404541
800	0.2	20	|	45	-1	dot_product
0.1003 %	0.25378 %	0.435468 %	0.5302488 %	|	0.3779 %	0.6965 %	0.63315 %	0.8458 %	0.83364 %	0.792763 %	187.44683265686035
800	0.2	20	|	50	-1	dot_product
0.1003 %	0.254 %	0.435802 %	0.5303673 %	|	0.3781 %	0.6975 %	0.63405 %	0.8479 %	0.83584 %	0.794043 %	191.56718254089355
800	0.2	20	|	55	-1	dot_product
0.1003 %	0.25429 %	0.436093 %	0.5304291 %	|	0.3792 %	0.6992 %	0.63495 %	0.8506 %	0.83768 %	0.795063 %	200.03747940063477
800	0.2	20	|	60	-1	dot_product
0.1002 %	0.25446 %	0.436345 %	0.5304928 %	|	0.3796 %	0.7001 %	0.63566 %	0.8526 %	0.83943 %	0.796041 %	206.36415481567383
800	0.2	20	|	65	-1	dot_product
0.1003 %	0.25471 %	0.436571 %	0.5305477 %	|	0.3803 %	0.7013 %	0.63638 %	0.8544 %	0.84104 %	0.796907 %	211.0748291015625
800	0.2	20	|	75	-1	dot_product
0.1004 %	0.255 %	0.437024 %	0.5306613 %	|	0.3809 %	0.7029 %	0.63753 %	0.8582 %	0.84406 %	0.798614 %	219.712495803833
800	0.2	20	|	90	-1	dot_product
0.1004 %	0.25528 %	0.437568 %	0.5308175 %	|	0.3814 %	0.7051 %	0.63915 %	0.8622 %	0.84782 %	0.800772 %	236.6800308227539
800	0.2	20	|	110	-1	dot_product
0.1005 %	0.25567 %	0.438222 %	0.5310105 %	|	0.3826 %	0.7082 %	0.64097 %	0.8674 %	0.85205 %	0.803324 %	263.64850997924805
800	0.2	20	|	130	-1	dot_product
0.1005 %	0.25596 %	0.438719 %	0.5311672 %	|	0.3831 %	0.7109 %	0.6427 %	0.872 %	0.85615 %	0.805489 %	280.2751064300537
800	0.2	20	|	150	-1	dot_product
0.1006 %	0.25624 %	0.439193 %	0.5313106 %	|	0.3833 %	0.7124 %	0.64415 %	0.8745 %	0.85925 %	0.807429 %	296.9996929168701
800	0.2	20	|	170	-1	dot_product
0.1009 %	0.25653 %	0.439623 %	0.53144 %	|	0.3843 %	0.7152 %	0.64561 %	0.8791 %	0.8624 %	0.809256 %	320.50228118896484
800	0.2	20	|	200	-1	dot_product
0.1009 %	0.25684 %	0.440239 %	0.5316472 %	|	0.3845 %	0.7166 %	0.64718 %	0.8828 %	0.86619 %	0.811846 %	346.33541107177734
800	0.2	20	|	220	-1	dot_product
0.101 %	0.25698 %	0.440609 %	0.531793 %	|	0.385 %	0.7178 %	0.64809 %	0.8851 %	0.86866 %	0.813506 %	361.12117767333984
800	0.2	20	|	250	-1	dot_product
0.101 %	0.25718 %	0.441073 %	0.5320087 %	|	0.3854 %	0.72 %	0.64946 %	0.8887 %	0.87174 %	0.815678 %	391.4775848388672
800	0.2	20	|	310	-1	dot_product
0.1011 %	0.25767 %	0.441958 %	0.5324199 %	|	0.3862 %	0.7233 %	0.65206 %	0.8956 %	0.87764 %	0.819779 %	457.6759338378906
800	0.2	20	|	400	-1	dot_product
0.1013 %	0.25814 %	0.443108 %	0.5330125 %	|	0.3875 %	0.7278 %	0.65516 %	0.9037 %	0.88521 %	0.825384 %	554.8725128173828
800	0.2	20	|	500	-1	dot_product
0.1019 %	0.25849 %	0.444142 %	0.5335985 %	|	0.3885 %	0.7315 %	0.65792 %	0.9112 %	0.89213 %	0.830465 %	653.4302234649658
800	0.2	20	|	800	-1	dot_product
0.1023 %	0.25914 %	0.446293 %	0.5351475 %	|	0.3894 %	0.7354 %	0.6621 %	0.9194 %	0.90312 %	0.84149 %	915.6653881072998
800	0.2	10	|	1	-1	dot_product
0.0356 %	0.12172 %	0.246859 %	0.2863756 %	|	0.163 %	0.3722 %	0.34572 %	0.4483 %	0.44858 %	0.434739 %	75.44732093811035
800	0.2	10	|	2	-1	dot_product
0.0391 %	0.13421 %	0.271715 %	0.3847717 %	|	0.1857 %	0.4401 %	0.39742 %	0.5759 %	0.57617 %	0.561333 %	89.25080299377441
800	0.2	10	|	4	-1	dot_product
0.0407 %	0.14032 %	0.282265 %	0.4172228 %	|	0.1956 %	0.4725 %	0.4227 %	0.6662 %	0.66608 %	0.632436 %	106.0025691986084
800	0.2	10	|	8	-1	dot_product
