Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.2447 %	0.37191 %	0.483978 %	0.6009637 %	|	0.6779 %	0.9571 %	0.85565 %	0.9994 %	0.9961 %	0.952643 %	2483.322858810425
4000	0.2	32	|	1900	-1	squared_l2
0.2447 %	0.37191 %	0.483978 %	0.600943 %	|	0.6779 %	0.957 %	0.85563 %	0.9994 %	0.99609 %	0.952643 %	2668.182849884033
4000	0.2	32	|	2000	-1	squared_l2
0.2447 %	0.37191 %	0.483975 %	0.6009282 %	|	0.6779 %	0.957 %	0.85563 %	0.9994 %	0.99609 %	0.952635 %	2800.2915382385254
4000	0.2	32	|	2048	-1	squared_l2
0.2447 %	0.37191 %	0.483974 %	0.6009218 %	|	0.6779 %	0.957 %	0.85563 %	0.9994 %	0.99608 %	0.952634 %	2865.1602268218994
4000	0.2	24	|	1	-1	squared_l2
0.0747 %	0.1205 %	0.133901 %	0.0863468 %	|	0.1795 %	0.2231 %	0.19209 %	0.2258 %	0.19741 %	0.15212 %	65.60540199279785
4000	0.2	24	|	2	-1	squared_l2
0.1008 %	0.16735 %	0.196909 %	0.141102 %	|	0.266 %	0.35 %	0.29846 %	0.3556 %	0.31251 %	0.242256 %	79.87594604492188
4000	0.2	24	|	4	-1	squared_l2
0.1222 %	0.20693 %	0.262545 %	0.2241836 %	|	0.3506 %	0.4961 %	0.42082 %	0.5117 %	0.45733 %	0.366362 %	103.90520095825195
4000	0.2	24	|	8	-1	squared_l2
0.1392 %	0.23756 %	0.317402 %	0.3295827 %	|	0.4251 %	0.6414 %	0.53856 %	0.6725 %	0.61741 %	0.515754 %	129.93741035461426
4000	0.2	24	|	16	-1	squared_l2
0.1482 %	0.25328 %	0.352558 %	0.4205942 %	|	0.4643 %	0.7462 %	0.62528 %	0.8053 %	0.76036 %	0.660848 %	156.8737030029297
4000	0.2	24	|	25	-1	squared_l2
0.1513 %	0.25987 %	0.36532 %	0.4603751 %	|	0.4834 %	0.7942 %	0.66144 %	0.8736 %	0.8341 %	0.73711 %	173.24090003967285
4000	0.2	24	|	30	-1	squared_l2
0.1523 %	0.26105 %	0.368935 %	0.4721913 %	|	0.4871 %	0.8094 %	0.67205 %	0.8967 %	0.85865 %	0.762887 %	186.4938735961914
4000	0.2	24	|	35	-1	squared_l2
0.1525 %	0.26176 %	0.371122 %	0.4802536 %	|	0.4881 %	0.8187 %	0.67988 %	0.9117 %	0.87773 %	0.781491 %	193.11189651489258
4000	0.2	24	|	40	-1	squared_l2
0.1532 %	0.26227 %	0.372582 %	0.4861493 %	|	0.4902 %	0.8275 %	0.6857 %	0.9243 %	0.89286 %	0.795655 %	206.92825317382812
4000	0.2	24	|	45	-1	squared_l2
0.1536 %	0.2626 %	0.373366 %	0.4906334 %	|	0.4911 %	0.8336 %	0.68957 %	0.935 %	0.90394 %	0.806647 %	214.09249305725098
4000	0.2	24	|	50	-1	squared_l2
0.1539 %	0.26277 %	0.37412 %	0.4940056 %	|	0.4935 %	0.8396 %	0.69248 %	0.9435 %	0.91235 %	0.815462 %	222.1517562866211
4000	0.2	24	|	55	-1	squared_l2
0.1537 %	0.26289 %	0.3745 %	0.4965522 %	|	0.4945 %	0.8437 %	0.69522 %	0.9499 %	0.91969 %	0.822286 %	228.69634628295898
4000	0.2	24	|	60	-1	squared_l2
0.1546 %	0.2631 %	0.374737 %	0.4985618 %	|	0.4962 %	0.8475 %	0.69689 %	0.956 %	0.92527 %	0.828074 %	236.83547973632812
4000	0.2	24	|	65	-1	squared_l2
0.1543 %	0.26323 %	0.374885 %	0.5001991 %	|	0.496 %	0.8498 %	0.69794 %	0.9593 %	0.93032 %	0.832962 %	247.46036529541016
4000	0.2	24	|	75	-1	squared_l2
0.1553 %	0.26299 %	0.375216 %	0.502576 %	|	0.4974 %	0.8545 %	0.70019 %	0.9669 %	0.93862 %	0.840716 %	266.2372589111328
4000	0.2	24	|	90	-1	squared_l2
0.1545 %	0.26287 %	0.375332 %	0.5047953 %	|	0.4978 %	0.8578 %	0.70254 %	0.9735 %	0.94696 %	0.848598 %	288.2843017578125
4000	0.2	24	|	110	-1	squared_l2
0.1541 %	0.26234 %	0.375154 %	0.5064132 %	|	0.4978 %	0.8611 %	0.70419 %	0.979 %	0.95422 %	0.855434 %	313.6413097381592
4000	0.2	24	|	130	-1	squared_l2
0.1534 %	0.26182 %	0.374954 %	0.5070753 %	|	0.497 %	0.8621 %	0.70451 %	0.9823 %	0.95901 %	0.859478 %	340.81244468688965
4000	0.2	24	|	150	-1	squared_l2
0.1532 %	0.26163 %	0.374701 %	0.5074023 %	|	0.4968 %	0.8629 %	0.70478 %	0.9845 %	0.96218 %	0.862142 %	371.6118335723877
4000	0.2	24	|	170	-1	squared_l2
0.1534 %	0.2613 %	0.374557 %	0.507492 %	|	0.4967 %	0.8635 %	0.70461 %	0.9859 %	0.96452 %	0.863969 %	403.897762298584
4000	0.2	24	|	200	-1	squared_l2
0.1532 %	0.26105 %	0.374241 %	0.5074301 %	|	0.4964 %	0.8645 %	0.70467 %	0.9879 %	0.96669 %	0.865738 %	449.25689697265625
4000	0.2	24	|	220	-1	squared_l2
0.1531 %	0.26106 %	0.373998 %	0.5072616 %	|	0.4963 %	0.8648 %	0.7044 %	0.9883 %	0.96749 %	0.866374 %	479.12049293518066
4000	0.2	24	|	250	-1	squared_l2
0.1527 %	0.26068 %	0.373622 %	0.506994 %	|	0.4957 %	0.8644 %	0.70417 %	0.9891 %	0.96852 %	0.867018 %	500.1988410949707
4000	0.2	24	|	310	-1	squared_l2
0.1524 %	0.2603 %	0.373147 %	0.5064491 %	|	0.4952 %	0.8645 %	0.70387 %	0.99 %	0.96969 %	0.867603 %	568.7496662139893
4000	0.2	24	|	400	-1	squared_l2
0.1522 %	0.2601 %	0.372729 %	0.5056602 %	|	0.4952 %	0.8643 %	0.70363 %	0.9904 %	0.9703 %	0.867774 %	683.0265522003174
4000	0.2	24	|	500	-1	squared_l2
0.152 %	0.25992 %	0.372347 %	0.5049665 %	|	0.4949 %	0.8648 %	0.70336 %	0.9909 %	0.97081 %	0.867476 %	811.2978935241699
4000	0.2	24	|	800	-1	squared_l2
0.1521 %	0.25976 %	0.371774 %	0.5037511 %	|	0.4951 %	0.8647 %	0.70246 %	0.9911 %	0.97086 %	0.866789 %	1178.941011428833
4000	0.2	24	|	1000	-1	squared_l2
0.152 %	0.25967 %	0.371625 %	0.5033481 %	|	0.495 %	0.8646 %	0.70223 %	0.9911 %	0.97072 %	0.866535 %	1428.2865524291992
4000	0.2	24	|	1250	-1	squared_l2
0.152 %	0.25967 %	0.371551 %	0.5030654 %	|	0.4949 %	0.8644 %	0.70211 %	0.9911 %	0.97066 %	0.866306 %	1733.1364154815674
4000	0.2	24	|	1500	-1	squared_l2
0.152 %	0.25966 %	0.371505 %	0.5028931 %	|	0.4949 %	0.8644 %	0.70207 %	0.9911 %	0.97055 %	0.866151 %	2029.5014381408691
4000	0.2	24	|	1750	-1	squared_l2
0.152 %	0.25966 %	0.371485 %	0.5027869 %	|	0.4949 %	0.8644 %	0.70206 %	0.9911 %	0.97053 %	0.866072 %	2328.284740447998
4000	0.2	24	|	1900	-1	squared_l2
0.152 %	0.25965 %	0.371471 %	0.502737 %	|	0.4949 %	0.8645 %	0.70205 %	0.9911 %	0.97051 %	0.866039 %	2504.497528076172
4000	0.2	24	|	2000	-1	squared_l2
