Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7912 %	0.82687 %	0.84472 %	0.8321973 %	|	0.9597 %	0.9606 %	0.94836 %	0.9606 %	0.94836 %	0.928898 %	1461.4002704620361
1000	50	256	|	128	-1	dot_product
0.8041 %	0.84134 %	0.864807 %	0.8683549 %	|	0.9789 %	0.98 %	0.9738 %	0.98 %	0.9738 %	0.962688 %	2107.7561378479004
1000	50	256	|	256	-1	dot_product
0.8122 %	0.84887 %	0.876073 %	0.889704 %	|	0.9916 %	0.9928 %	0.98951 %	0.9928 %	0.98953 %	0.985171 %	3860.9213829040527
1000	50	256	|	320	-1	dot_product
0.8142 %	0.85048 %	0.878177 %	0.893882 %	|	0.9944 %	0.9956 %	0.99276 %	0.9956 %	0.99278 %	0.989912 %	4260.203123092651
1000	50	256	|	384	-1	dot_product
0.8151 %	0.85143 %	0.879609 %	0.8965313 %	|	0.9959 %	0.9971 %	0.99535 %	0.9971 %	0.99537 %	0.993169 %	4655.692338943481
1000	50	256	|	448	-1	dot_product
0.8156 %	0.85202 %	0.880446 %	0.898305 %	|	0.9965 %	0.9977 %	0.99678 %	0.9977 %	0.9968 %	0.995259 %	5827.1331787109375
1000	50	256	|	512	-1	dot_product
0.8156 %	0.85241 %	0.880999 %	0.899463 %	|	0.9972 %	0.9984 %	0.9978 %	0.9984 %	0.99783 %	0.996718 %	6290.905237197876
1000	50	256	|	576	-1	dot_product
0.8164 %	0.85267 %	0.881415 %	0.9002629 %	|	0.9981 %	0.9993 %	0.99857 %	0.9993 %	0.9986 %	0.997782 %	7699.068307876587
1000	50	256	|	640	-1	dot_product
0.8164 %	0.85284 %	0.881701 %	0.9008199 %	|	0.9982 %	0.9994 %	0.99902 %	0.9994 %	0.99905 %	0.998523 %	8659.505605697632
1000	50	256	|	704	-1	dot_product
0.8166 %	0.85302 %	0.881885 %	0.9012196 %	|	0.9984 %	0.9996 %	0.99935 %	0.9996 %	0.99938 %	0.999041 %	9411.227226257324
1000	50	256	|	768	-1	dot_product
0.8165 %	0.85312 %	0.882008 %	0.9014835 %	|	0.9984 %	0.9996 %	0.99957 %	0.9996 %	0.9996 %	0.999392 %	10350.687265396118
1500	20	256	|	1	-1	dot_product
0.2264 %	0.27034 %	0.274884 %	0.2178543 %	|	0.3937 %	0.4378 %	0.39602 %	0.4404 %	0.40625 %	0.342312 %	1059.6323013305664
1500	20	256	|	16	-1	dot_product
0.3698 %	0.44008 %	0.488513 %	0.5097532 %	|	0.7216 %	0.8472 %	0.77787 %	0.8588 %	0.82946 %	0.765802 %	1203.4859657287598
1500	20	256	|	32	-1	dot_product
0.3807 %	0.4525 %	0.506549 %	0.5442739 %	|	0.7518 %	0.8923 %	0.81963 %	0.9074 %	0.88528 %	0.826605 %	1270.4458236694336
1500	20	256	|	64	-1	dot_product
0.3885 %	0.46029 %	0.518026 %	0.5669699 %	|	0.7708 %	0.9235 %	0.84766 %	0.9432 %	0.92577 %	0.871165 %	1363.3582592010498
1500	20	256	|	128	-1	dot_product
0.3943 %	0.46499 %	0.524813 %	0.581421 %	|	0.7842 %	0.9435 %	0.86582 %	0.9677 %	0.95431 %	0.901695 %	1721.3103771209717
1500	20	256	|	256	-1	dot_product
0.3963 %	0.46763 %	0.528543 %	0.5898049 %	|	0.7913 %	0.9555 %	0.87669 %	0.9829 %	0.97297 %	0.921437 %	2645.4665660858154
1500	20	256	|	320	-1	dot_product
0.3969 %	0.46812 %	0.529316 %	0.5915486 %	|	0.7927 %	0.9583 %	0.87915 %	0.9871 %	0.97736 %	0.925714 %	3334.913730621338
1500	20	256	|	384	-1	dot_product
0.3972 %	0.46848 %	0.529821 %	0.5926699 %	|	0.7937 %	0.9604 %	0.88071 %	0.9899 %	0.98038 %	0.928675 %	3643.4860229492188
1500	20	256	|	448	-1	dot_product
0.3973 %	0.4688 %	0.530103 %	0.5934443 %	|	0.7941 %	0.9616 %	0.88193 %	0.9913 %	0.98249 %	0.930785 %	3931.5531253814697
1500	20	256	|	512	-1	dot_product
0.3974 %	0.46893 %	0.530378 %	0.5939952 %	|	0.7947 %	0.9627 %	0.88268 %	0.9925 %	0.98397 %	0.932241 %	4179.1791915893555
1500	20	256	|	576	-1	dot_product
0.3973 %	0.46906 %	0.530538 %	0.5944177 %	|	0.7951 %	0.9635 %	0.88325 %	0.9937 %	0.98518 %	0.933386 %	4433.674573898315
1500	20	256	|	640	-1	dot_product
0.3973 %	0.46912 %	0.530666 %	0.5947206 %	|	0.7952 %	0.9638 %	0.88375 %	0.9942 %	0.98608 %	0.934271 %	5821.646928787231
1500	20	256	|	704	-1	dot_product
0.3975 %	0.46915 %	0.530775 %	0.594946 %	|	0.7954 %	0.9642 %	0.88406 %	0.9948 %	0.98685 %	0.93496 %	7187.044382095337
1500	20	256	|	768	-1	dot_product
0.3975 %	0.46922 %	0.530845 %	0.5951283 %	|	0.7957 %	0.9646 %	0.88435 %	0.9955 %	0.98753 %	0.935482 %	7854.799509048462
1500	20	256	|	1024	-1	dot_product
0.3975 %	0.46936 %	0.530991 %	0.5955269 %	|	0.7965 %	0.9658 %	0.88489 %	0.9973 %	0.98904 %	0.936734 %	10456.610441207886
1500	20	256	|	1280	-1	dot_product
0.3976 %	0.46938 %	0.531035 %	0.5956584 %	|	0.7966 %	0.9661 %	0.88502 %	0.998 %	0.98946 %	0.937193 %	13029.420375823975
1500	25	256	|	1	-1	dot_product
0.2687 %	0.30693 %	0.296622 %	0.2249624 %	|	0.4204 %	0.44 %	0.40322 %	0.4404 %	0.40632 %	0.343453 %	1058.6180686950684
1500	25	256	|	16	-1	dot_product
0.4597 %	0.52339 %	0.558542 %	0.5582562 %	|	0.7913 %	0.856 %	0.81361 %	0.8592 %	0.83071 %	0.776688 %	1239.0978336334229
1500	25	256	|	32	-1	dot_product
0.4765 %	0.54137 %	0.583828 %	0.6032952 %	|	0.8289 %	0.9032 %	0.86445 %	0.9078 %	0.88744 %	0.843228 %	1308.4590435028076
