Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.3115 %	0.40514 %	0.494341 %	0.5956396 %	|	0.7377 %	0.9663 %	0.87016 %	0.9977 %	0.9935 %	0.947639 %	332.0422172546387
800	0.2	32	|	75	-1	squared_l2
0.3115 %	0.40517 %	0.4943 %	0.5959104 %	|	0.7378 %	0.9667 %	0.87031 %	0.9985 %	0.99428 %	0.948777 %	359.668493270874
800	0.2	32	|	90	-1	squared_l2
0.3116 %	0.40511 %	0.494176 %	0.595979 %	|	0.7378 %	0.9669 %	0.87035 %	0.9987 %	0.99489 %	0.949581 %	390.5808925628662
800	0.2	32	|	110	-1	squared_l2
0.3114 %	0.40501 %	0.494034 %	0.5958873 %	|	0.7377 %	0.9674 %	0.87033 %	0.9991 %	0.99526 %	0.949988 %	432.8792095184326
800	0.2	32	|	130	-1	squared_l2
0.3114 %	0.40506 %	0.493928 %	0.595721 %	|	0.7377 %	0.9674 %	0.87038 %	0.9992 %	0.99544 %	0.950088 %	475.0943183898926
800	0.2	32	|	150	-1	squared_l2
0.3113 %	0.40501 %	0.493879 %	0.595587 %	|	0.7376 %	0.9674 %	0.87033 %	0.9992 %	0.99549 %	0.950076 %	514.1336917877197
800	0.2	32	|	170	-1	squared_l2
0.3112 %	0.40501 %	0.493842 %	0.5954894 %	|	0.7376 %	0.9674 %	0.8703 %	0.9992 %	0.9955 %	0.950053 %	570.7437992095947
800	0.2	32	|	200	-1	squared_l2
0.3112 %	0.40498 %	0.493812 %	0.595395 %	|	0.7375 %	0.9674 %	0.87027 %	0.9992 %	0.99547 %	0.950006 %	614.194393157959
800	0.2	32	|	220	-1	squared_l2
0.3112 %	0.40499 %	0.493804 %	0.5953585 %	|	0.7375 %	0.9674 %	0.87029 %	0.9992 %	0.99548 %	0.949978 %	654.5965671539307
800	0.2	32	|	250	-1	squared_l2
0.3112 %	0.40498 %	0.493792 %	0.5953275 %	|	0.7375 %	0.9674 %	0.87029 %	0.9992 %	0.99547 %	0.949963 %	723.4289646148682
800	0.2	32	|	310	-1	squared_l2
0.3112 %	0.40498 %	0.493787 %	0.5953053 %	|	0.7375 %	0.9674 %	0.87029 %	0.9992 %	0.99546 %	0.949953 %	853.874921798706
800	0.2	32	|	400	-1	squared_l2
0.3112 %	0.40498 %	0.493787 %	0.5953024 %	|	0.7375 %	0.9674 %	0.87029 %	0.9992 %	0.99546 %	0.949953 %	1047.1673011779785
800	0.2	32	|	500	-1	squared_l2
0.3112 %	0.40498 %	0.493786 %	0.5953019 %	|	0.7375 %	0.9674 %	0.87029 %	0.9992 %	0.99546 %	0.949953 %	1228.4166812896729
800	0.2	32	|	800	-1	squared_l2
0.3112 %	0.40498 %	0.493786 %	0.5953018 %	|	0.7375 %	0.9674 %	0.87029 %	0.9992 %	0.99546 %	0.949953 %	1758.0387592315674
800	0.2	16	|	1	-1	squared_l2
0.1252 %	0.17636 %	0.218271 %	0.1985755 %	|	0.3135 %	0.4463 %	0.36121 %	0.4713 %	0.40593 %	0.318526 %	95.80636024475098
800	0.2	16	|	2	-1	squared_l2
0.145 %	0.20612 %	0.270373 %	0.2953509 %	|	0.3867 %	0.5916 %	0.47621 %	0.6403 %	0.56974 %	0.466066 %	118.57318878173828
800	0.2	16	|	4	-1	squared_l2
0.157 %	0.22355 %	0.30489 %	0.373807 %	|	0.4304 %	0.7077 %	0.56327 %	0.7886 %	0.72151 %	0.607999 %	143.55778694152832
800	0.2	16	|	8	-1	squared_l2
0.1617 %	0.23157 %	0.323499 %	0.4244951 %	|	0.4516 %	0.774 %	0.61558 %	0.8914 %	0.84049 %	0.719608 %	164.44635391235352
800	0.2	16	|	16	-1	squared_l2
0.1607 %	0.23206 %	0.330484 %	0.4497185 %	|	0.4569 %	0.8077 %	0.63865 %	0.952 %	0.912 %	0.785825 %	196.2583065032959
800	0.2	16	|	25	-1	squared_l2
0.159 %	0.23071 %	0.330681 %	0.4556762 %	|	0.4568 %	0.814 %	0.64283 %	0.9686 %	0.93477 %	0.805042 %	214.79535102844238
800	0.2	16	|	30	-1	squared_l2
0.1582 %	0.2304 %	0.330198 %	0.4565006 %	|	0.4562 %	0.8148 %	0.64271 %	0.9727 %	0.93943 %	0.808979 %	231.3823699951172
800	0.2	16	|	35	-1	squared_l2
0.1577 %	0.22979 %	0.329561 %	0.4566999 %	|	0.4556 %	0.814 %	0.64177 %	0.9744 %	0.94181 %	0.810977 %	239.73989486694336
800	0.2	16	|	40	-1	squared_l2
0.1575 %	0.22928 %	0.329027 %	0.4565812 %	|	0.4554 %	0.8147 %	0.64137 %	0.9757 %	0.94322 %	0.811967 %	249.27306175231934
800	0.2	16	|	45	-1	squared_l2
0.1576 %	0.22894 %	0.328636 %	0.4562953 %	|	0.4543 %	0.8143 %	0.64096 %	0.9763 %	0.94428 %	0.812394 %	258.8224411010742
800	0.2	16	|	50	-1	squared_l2
0.1576 %	0.22871 %	0.328342 %	0.4559822 %	|	0.4544 %	0.8143 %	0.64074 %	0.9768 %	0.94529 %	0.812568 %	269.6104049682617
800	0.2	16	|	55	-1	squared_l2
0.1575 %	0.22862 %	0.328059 %	0.4556538 %	|	0.4542 %	0.8135 %	0.64012 %	0.9769 %	0.94552 %	0.812497 %	278.21993827819824
800	0.2	16	|	60	-1	squared_l2
0.1575 %	0.22855 %	0.327843 %	0.4552405 %	|	0.4544 %	0.8131 %	0.63996 %	0.9773 %	0.94581 %	0.812172 %	283.01024436950684
800	0.2	16	|	65	-1	squared_l2
0.1574 %	0.2285 %	0.327593 %	0.4548412 %	|	0.4543 %	0.8131 %	0.63976 %	0.9778 %	0.94597 %	0.811789 %	297.9004383087158
800	0.2	16	|	75	-1	squared_l2
0.1572 %	0.22841 %	0.327239 %	0.4541579 %	|	0.454 %	0.813 %	0.63907 %	0.9785 %	0.94593 %	0.811256 %	311.9018077850342
800	0.2	16	|	90	-1	squared_l2
0.1571 %	0.22821 %	0.326897 %	0.4533198 %	|	0.4536 %	0.8125 %	0.63849 %	0.9783 %	0.94551 %	0.810347 %	335.3424072265625
