Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7948 %	0.82439 %	0.837583 %	0.8296169 %	|	0.9564 %	0.9572 %	0.94282 %	0.9577 %	0.9434 %	0.9195 %	100880.25569915771
8000	48	256	|	32	-1	squared_l2
0.8116 %	0.84479 %	0.864958 %	0.8707027 %	|	0.9823 %	0.9832 %	0.97679 %	0.9837 %	0.97737 %	0.964179 %	181284.0700149536
8000	48	256	|	64	-1	squared_l2
0.8188 %	0.85231 %	0.876665 %	0.8899423 %	|	0.993 %	0.9939 %	0.99156 %	0.9943 %	0.99214 %	0.986387 %	334344.3489074707
8000	48	256	|	128	-1	squared_l2
0.8208 %	0.85494 %	0.880914 %	0.8974713 %	|	0.9966 %	0.9975 %	0.99703 %	0.9979 %	0.99759 %	0.995503 %	626158.07056427
8000	48	256	|	256	-1	squared_l2
0.8218 %	0.85554 %	0.882206 %	0.8999587 %	|	0.9979 %	0.9989 %	0.99861 %	0.9993 %	0.99918 %	0.998651 %	1177530.9705734253
8000	48	256	|	320	-1	squared_l2
0.822 %	0.85569 %	0.882406 %	0.9003041 %	|	0.9981 %	0.9991 %	0.99889 %	0.9995 %	0.99946 %	0.999117 %	1445147.9053497314
8000	48	256	|	384	-1	squared_l2
0.822 %	0.85569 %	0.882489 %	0.900488 %	|	0.9981 %	0.9991 %	0.99897 %	0.9995 %	0.99954 %	0.999333 %	1708129.2486190796
8000	48	256	|	448	-1	squared_l2
0.822 %	0.85573 %	0.882513 %	0.9005981 %	|	0.9982 %	0.9992 %	0.99904 %	0.9996 %	0.99961 %	0.999438 %	1969448.8525390625
8000	48	256	|	512	-1	squared_l2
0.822 %	0.85573 %	0.882539 %	0.9006682 %	|	0.9982 %	0.9992 %	0.99907 %	0.9996 %	0.99964 %	0.999525 %	2228850.154876709
8000	48	256	|	576	-1	squared_l2
0.822 %	0.85575 %	0.882563 %	0.9007138 %	|	0.9982 %	0.9992 %	0.99909 %	0.9996 %	0.99966 %	0.999576 %	2486039.047241211
8000	48	256	|	640	-1	squared_l2
0.822 %	0.85575 %	0.882579 %	0.9007448 %	|	0.9982 %	0.9992 %	0.99909 %	0.9996 %	0.99966 %	0.99961 %	2736545.2909469604
8000	48	256	|	704	-1	squared_l2
0.822 %	0.85576 %	0.882593 %	0.9007677 %	|	0.9982 %	0.9992 %	0.9991 %	0.9996 %	0.99967 %	0.999651 %	2982457.823753357
8000	48	256	|	768	-1	squared_l2
0.822 %	0.85576 %	0.882596 %	0.9007844 %	|	0.9982 %	0.9992 %	0.99911 %	0.9996 %	0.99968 %	0.999663 %	3234092.1354293823
8000	48	256	|	1024	-1	squared_l2
0.822 %	0.85577 %	0.882607 %	0.9008153 %	|	0.9983 %	0.9993 %	0.99914 %	0.9997 %	0.99971 %	0.999699 %	4233951.363563538
8000	48	256	|	1280	-1	squared_l2
0.822 %	0.85577 %	0.882612 %	0.9008291 %	|	0.9983 %	0.9993 %	0.99914 %	0.9997 %	0.99971 %	0.999709 %	-1
8000	48	256	|	1536	-1	squared_l2
0.822 %	0.85578 %	0.882617 %	0.900834 %	|	0.9983 %	0.9993 %	0.99915 %	0.9997 %	0.99972 %	0.999719 %	-1
8000	48	256	|	2048	-1	squared_l2
0.822 %	0.85578 %	0.882616 %	0.9008377 %	|	0.9983 %	0.9993 %	0.99915 %	0.9997 %	0.99972 %	0.999721 %	-1
8000	24	256	|	1	-1	squared_l2
0.3225 %	0.34269 %	0.337898 %	0.3167758 %	|	0.4897 %	0.517 %	0.46157 %	0.5195 %	0.4684 %	0.413348 %	15783.696174621582
8000	24	256	|	16	-1	squared_l2
0.4974 %	0.55507 %	0.596301 %	0.6339736 %	|	0.8723 %	0.9528 %	0.91877 %	0.9573 %	0.94243 %	0.912089 %	56129.89902496338
8000	24	256	|	32	-1	squared_l2
0.5053 %	0.56491 %	0.609397 %	0.6543785 %	|	0.8926 %	0.9786 %	0.94986 %	0.9833 %	0.97638 %	0.955284 %	95074.37229156494
8000	24	256	|	64	-1	squared_l2
0.5093 %	0.56825 %	0.61481 %	0.6637186 %	|	0.9012 %	0.9893 %	0.96298 %	0.994 %	0.99115 %	0.976365 %	169668.90811920166
8000	24	256	|	128	-1	squared_l2
0.51 %	0.56925 %	0.616725 %	0.6672884 %	|	0.9038 %	0.9927 %	0.96765 %	0.9976 %	0.99661 %	0.984784 %	311417.54627227783
8000	24	256	|	256	-1	squared_l2
0.5104 %	0.56957 %	0.617267 %	0.6684229 %	|	0.9047 %	0.994 %	0.96897 %	0.999 %	0.99819 %	0.987556 %	580285.7828140259
8000	24	256	|	320	-1	squared_l2
