Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
1000	64	256	|	768	-1	squared_l2
0.837 %	0.87575 %	0.906262 %	0.9273644 %	|	0.9996 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4173.503875732422
1500	16	256	|	1	-1	squared_l2
0.2949 %	0.31472 %	0.266791 %	0.1626401 %	|	0.4474 %	0.4561 %	0.3775 %	0.4561 %	0.37759 %	0.280502 %	992.1548366546631
1500	16	256	|	16	-1	squared_l2
0.4605 %	0.55212 %	0.604184 %	0.615659 %	|	0.8738 %	0.9434 %	0.89921 %	0.9442 %	0.9076 %	0.842025 %	1067.8355693817139
1500	16	256	|	32	-1	squared_l2
0.4651 %	0.56341 %	0.627679 %	0.6751402 %	|	0.8978 %	0.9796 %	0.95146 %	0.9808 %	0.96588 %	0.930417 %	1099.823236465454
1500	16	256	|	64	-1	squared_l2
0.4671 %	0.56698 %	0.636545 %	0.7026554 %	|	0.9057 %	0.9941 %	0.97242 %	0.9955 %	0.99133 %	0.976856 %	1156.0657024383545
1500	16	256	|	128	-1	squared_l2
0.4674 %	0.56771 %	0.638727 %	0.7114475 %	|	0.9076 %	0.9981 %	0.97794 %	0.9997 %	0.9989 %	0.992844 %	1267.8813934326172
1500	16	256	|	256	-1	squared_l2
0.4676 %	0.56775 %	0.638967 %	0.7129054 %	|	0.9077 %	0.9984 %	0.97862 %	1.0 %	0.99995 %	0.995545 %	1429.2476177215576
1500	16	256	|	320	-1	squared_l2
0.4676 %	0.56775 %	0.638969 %	0.7129625 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99997 %	0.995653 %	1409.2564582824707
1500	16	256	|	384	-1	squared_l2
0.4676 %	0.56775 %	0.638975 %	0.7129752 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99997 %	0.995681 %	1477.9300689697266
1500	16	256	|	448	-1	squared_l2
0.4676 %	0.56775 %	0.638976 %	0.7129779 %	|	0.9077 %	0.9984 %	0.97862 %	1.0 %	0.99998 %	0.995689 %	1664.6740436553955
1500	16	256	|	512	-1	squared_l2
0.4676 %	0.56775 %	0.638973 %	0.7129791 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995691 %	1741.2517070770264
1500	16	256	|	576	-1	squared_l2
0.4676 %	0.56775 %	0.638973 %	0.7129791 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995693 %	1849.8880863189697
1500	16	256	|	640	-1	squared_l2
0.4676 %	0.56775 %	0.638973 %	0.71298 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995694 %	1924.9110221862793
1500	16	256	|	704	-1	squared_l2
0.4676 %	0.56775 %	0.638973 %	0.7129795 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995694 %	2026.3428688049316
1500	16	256	|	768	-1	squared_l2
0.4676 %	0.56775 %	0.638971 %	0.7129793 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995694 %	2084.9130153656006
1500	16	256	|	1024	-1	squared_l2
0.4676 %	0.56775 %	0.638973 %	0.7129797 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995694 %	2615.4892444610596
1500	16	256	|	1280	-1	squared_l2
0.4676 %	0.56775 %	0.638972 %	0.71298 %	|	0.9077 %	0.9984 %	0.97861 %	1.0 %	0.99998 %	0.995694 %	3131.8917274475098
1500	32	256	|	1	-1	squared_l2
0.3582 %	0.3511 %	0.276354 %	0.1628962 %	|	0.4551 %	0.4561 %	0.37758 %	0.4561 %	0.37759 %	0.280502 %	943.6039924621582
1500	32	256	|	16	-1	squared_l2
0.6308 %	0.69607 %	0.718316 %	0.6748264 %	|	0.9345 %	0.9442 %	0.90745 %	0.9442 %	0.9076 %	0.84227 %	1008.8531970977783
1500	32	256	|	32	-1	squared_l2
0.643 %	0.71764 %	0.758754 %	0.7643428 %	|	0.9684 %	0.9808 %	0.96557 %	0.9808 %	0.96588 %	0.931433 %	1099.217414855957
1500	32	256	|	64	-1	squared_l2
0.6478 %	0.72532 %	0.775296 %	0.8091801 %	|	0.9816 %	0.9955 %	0.99088 %	0.9955 %	0.99135 %	0.979293 %	1169.1813468933105
1500	32	256	|	128	-1	squared_l2
0.6489 %	0.72716 %	0.780099 %	0.8248847 %	|	0.9852 %	0.9997 %	0.99835 %	0.9997 %	0.99892 %	0.996572 %	1310.567855834961
1500	32	256	|	256	-1	squared_l2
0.6494 %	0.7273 %	0.780734 %	0.8281056 %	|	0.9855 %	1.0 %	0.99933 %	1.0 %	0.99997 %	0.999749 %	1461.153507232666
1500	32	256	|	320	-1	squared_l2
0.6493 %	0.7273 %	0.780753 %	0.8282623 %	|	0.9855 %	1.0 %	0.99934 %	1.0 %	0.99999 %	0.999911 %	1643.1605815887451
1500	32	256	|	384	-1	squared_l2
0.6494 %	0.7273 %	0.780753 %	0.8283096 %	|	0.9855 %	1.0 %	0.99934 %	1.0 %	0.99999 %	0.999956 %	1762.8264427185059
1500	32	256	|	448	-1	squared_l2
0.6493 %	0.7273 %	0.780759 %	0.8283207 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999968 %	1845.8762168884277
1500	32	256	|	512	-1	squared_l2
0.6493 %	0.7273 %	0.78076 %	0.8283253 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999975 %	1955.9745788574219
1500	32	256	|	576	-1	squared_l2
0.6494 %	0.7273 %	0.78076 %	0.8283274 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999977 %	2279.707193374634
1500	32	256	|	640	-1	squared_l2
0.6494 %	0.7273 %	0.78076 %	0.8283277 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999979 %	2353.1808853149414
1500	32	256	|	704	-1	squared_l2
0.6494 %	0.7273 %	0.78076 %	0.8283276 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999979 %	2445.019245147705
1500	32	256	|	768	-1	squared_l2
0.6494 %	0.7273 %	0.78076 %	0.8283278 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999979 %	2584.135055541992
1500	32	256	|	1024	-1	squared_l2
0.6494 %	0.7273 %	0.78076 %	0.828328 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999979 %	3368.2730197906494
1500	32	256	|	1280	-1	squared_l2
0.6494 %	0.7273 %	0.78076 %	0.828328 %	|	0.9855 %	1.0 %	0.99935 %	1.0 %	1.0 %	0.999979 %	4380.746841430664
1500	64	256	|	1	-1	squared_l2
0.4112 %	0.37036 %	0.279768 %	0.1629828 %	|	0.4561 %	0.4561 %	0.37759 %	0.4561 %	0.37759 %	0.280502 %	914.3414497375488
1500	64	256	|	16	-1	squared_l2
