Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.2261 %	0.3434 %	0.435633 %	0.5204275 %	|	0.6367 %	0.9162 %	0.80177 %	0.9549 %	0.93151 %	0.861323 %	2318.5250759124756
4000	12	64	|	64	-1	squared_l2
0.2262 %	0.34442 %	0.440011 %	0.5379928 %	|	0.6406 %	0.9357 %	0.81586 %	0.9836 %	0.96835 %	0.90541 %	3832.493543624878
4000	12	64	|	128	-1	squared_l2
0.2262 %	0.34472 %	0.441278 %	0.5447229 %	|	0.6416 %	0.9407 %	0.82061 %	0.9949 %	0.98548 %	0.924235 %	6651.480913162231
4000	12	64	|	256	-1	squared_l2
0.2263 %	0.34478 %	0.441489 %	0.5467083 %	|	0.6418 %	0.9419 %	0.82137 %	0.9979 %	0.99124 %	0.930255 %	11956.086158752441
4000	12	64	|	320	-1	squared_l2
0.2263 %	0.34478 %	0.4415 %	0.5469036 %	|	0.6418 %	0.9421 %	0.82147 %	0.9984 %	0.9918 %	0.930897 %	14641.881942749023
4000	12	64	|	384	-1	squared_l2
0.2263 %	0.34478 %	0.441503 %	0.5469972 %	|	0.6418 %	0.9421 %	0.82148 %	0.9984 %	0.99217 %	0.931209 %	17344.268083572388
4000	12	64	|	448	-1	squared_l2
0.2263 %	0.34479 %	0.441506 %	0.5470465 %	|	0.6418 %	0.9421 %	0.82149 %	0.9986 %	0.99235 %	0.93137 %	19810.813665390015
4000	12	64	|	512	-1	squared_l2
0.2263 %	0.34479 %	0.44151 %	0.5470771 %	|	0.6418 %	0.9421 %	0.82149 %	0.9987 %	0.99242 %	0.931464 %	22279.002904891968
4000	12	64	|	576	-1	squared_l2
0.2263 %	0.34479 %	0.44151 %	0.5470945 %	|	0.6418 %	0.9421 %	0.82149 %	0.9988 %	0.99252 %	0.931535 %	24857.959985733032
4000	12	64	|	640	-1	squared_l2
0.2263 %	0.34479 %	0.44151 %	0.5471014 %	|	0.6418 %	0.9421 %	0.82149 %	0.9988 %	0.99256 %	0.93156 %	27266.188383102417
4000	12	64	|	704	-1	squared_l2
0.2263 %	0.34479 %	0.44151 %	0.5471062 %	|	0.6418 %	0.9421 %	0.82149 %	0.9989 %	0.99259 %	0.931578 %	29724.058151245117
4000	12	64	|	768	-1	squared_l2
0.2263 %	0.34479 %	0.44151 %	0.5471092 %	|	0.6418 %	0.9421 %	0.82149 %	0.9989 %	0.99259 %	0.93159 %	32147.470951080322
4000	12	64	|	1024	-1	squared_l2
0.2263 %	0.34479 %	0.44151 %	0.5471144 %	|	0.6418 %	0.9421 %	0.82149 %	0.9989 %	0.9926 %	0.931606 %	42015.18201828003
4000	24	64	|	1	-1	squared_l2
0.2388 %	0.27883 %	0.233076 %	0.1216466 %	|	0.3728 %	0.3797 %	0.32839 %	0.3798 %	0.32859 %	0.241471 %	554.6970367431641
4000	24	64	|	16	-1	squared_l2
0.4301 %	0.55162 %	0.600343 %	0.5739014 %	|	0.851 %	0.9034 %	0.86183 %	0.9038 %	0.86572 %	0.788361 %	2273.2560634613037
4000	24	64	|	32	-1	squared_l2
0.4382 %	0.56836 %	0.634064 %	0.6522005 %	|	0.8898 %	0.9544 %	0.92609 %	0.955 %	0.93265 %	0.883038 %	3772.2132205963135
4000	24	64	|	64	-1	squared_l2
0.4423 %	0.5762 %	0.650334 %	0.6956334 %	|	0.9092 %	0.983 %	0.96142 %	0.9839 %	0.97086 %	0.94327 %	6555.555820465088
4000	24	64	|	128	-1	squared_l2
0.4442 %	0.57875 %	0.657139 %	0.7164478 %	|	0.9156 %	0.9946 %	0.97785 %	0.9955 %	0.98997 %	0.976063 %	11866.442680358887
4000	24	64	|	256	-1	squared_l2
0.4444 %	0.5794 %	0.659449 %	0.7250678 %	|	0.9173 %	0.9979 %	0.9835 %	0.9988 %	0.99723 %	0.990977 %	21470.335960388184
4000	24	64	|	320	-1	squared_l2
0.4445 %	0.5795 %	0.659715 %	0.7263405 %	|	0.9176 %	0.9984 %	0.9841 %	0.9994 %	0.99814 %	0.993394 %	26077.32367515564
4000	24	64	|	384	-1	squared_l2
0.4445 %	0.5795 %	0.659877 %	0.7270601 %	|	0.9176 %	0.9984 %	0.9846 %	0.9994 %	0.99884 %	0.994735 %	30677.825450897217
4000	24	64	|	448	-1	squared_l2
0.4446 %	0.57951 %	0.65995 %	0.7275074 %	|	0.9176 %	0.9986 %	0.98484 %	0.9996 %	0.99926 %	0.995571 %	35298.3295917511
4000	24	64	|	512	-1	squared_l2
0.4445 %	0.57953 %	0.660004 %	0.7277919 %	|	0.9177 %	0.9988 %	0.98498 %	0.9998 %	0.9995 %	0.996164 %	39753.901720047
4000	24	64	|	576	-1	squared_l2
0.4445 %	0.57957 %	0.660039 %	0.7279898 %	|	0.9178 %	0.9989 %	0.98512 %	0.9999 %	0.99975 %	0.996533 %	44444.23198699951
4000	24	64	|	640	-1	squared_l2
0.4445 %	0.57957 %	0.660058 %	0.7281224 %	|	0.9178 %	0.9989 %	0.98517 %	0.9999 %	0.99983 %	0.996763 %	48855.45325279236
4000	24	64	|	704	-1	squared_l2
0.4445 %	0.57958 %	0.660074 %	0.7282106 %	|	0.9178 %	0.999 %	0.98522 %	1.0 %	0.9999 %	0.99691 %	53226.91059112549
4000	24	64	|	768	-1	squared_l2
0.4445 %	0.57958 %	0.660083 %	0.7282752 %	|	0.9178 %	0.999 %	0.98523 %	1.0 %	0.99992 %	0.997021 %	57448.58384132385
4000	24	64	|	1024	-1	squared_l2
0.4445 %	0.57959 %	0.660087 %	0.7284171 %	|	0.9178 %	0.999 %	0.98526 %	1.0 %	0.99999 %	0.997273 %	75293.93887519836
4000	32	64	|	1	-1	squared_l2
0.2784 %	0.29895 %	0.23741 %	0.1216466 %	|	0.3781 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	630.9823989868164
4000	32	64	|	16	-1	squared_l2
0.5461 %	0.64226 %	0.667506 %	0.5996964 %	|	0.8898 %	0.9038 %	0.86555 %	0.9038 %	0.86572 %	0.788378 %	3331.7058086395264
4000	32	64	|	32	-1	squared_l2
0.5625 %	0.66782 %	0.713587 %	0.6986261 %	|	0.9381 %	0.955 %	0.93228 %	0.955 %	0.93265 %	0.883153 %	5829.668045043945
4000	32	64	|	64	-1	squared_l2
0.571 %	0.67955 %	0.736866 %	0.7574371 %	|	0.9634 %	0.9839 %	0.97021 %	0.9839 %	0.97086 %	0.943705 %	10524.755239486694
4000	32	64	|	128	-1	squared_l2
0.5738 %	0.68429 %	0.74702 %	0.7868538 %	|	0.9734 %	0.9955 %	0.98903 %	0.9955 %	0.98997 %	0.977135 %	19460.655212402344
4000	32	64	|	256	-1	squared_l2
0.5746 %	0.68559 %	0.750889 %	0.7994521 %	|	0.9762 %	0.9988 %	0.99607 %	0.9988 %	0.99723 %	0.992716 %	36391.90340042114
4000	32	64	|	320	-1	squared_l2
0.575 %	0.6858 %	0.751426 %	0.8014229 %	|	0.9768 %	0.9994 %	0.99692 %	0.9994 %	0.99814 %	0.995279 %	44698.69542121887
4000	32	64	|	384	-1	squared_l2
0.5749 %	0.68589 %	0.751707 %	0.8025727 %	|	0.9768 %	0.9994 %	0.9976 %	0.9994 %	0.99884 %	0.996729 %	52995.168924331665
4000	32	64	|	448	-1	squared_l2
0.5749 %	0.68596 %	0.751869 %	0.8033188 %	|	0.9769 %	0.9996 %	0.99801 %	0.9996 %	0.99926 %	0.997651 %	61219.08211708069
4000	32	64	|	512	-1	squared_l2
0.575 %	0.68601 %	0.751975 %	0.8038014 %	|	0.9771 %	0.9998 %	0.9982 %	0.9998 %	0.9995 %	0.998308 %	69299.0493774414
4000	32	64	|	576	-1	squared_l2
0.5751 %	0.68604 %	0.752055 %	0.8041269 %	|	0.9772 %	0.9999 %	0.99842 %	0.9999 %	0.99975 %	0.998734 %	77442.99244880676
4000	32	64	|	640	-1	squared_l2
0.5751 %	0.68604 %	0.752084 %	0.8043514 %	|	0.9772 %	0.9999 %	0.99849 %	0.9999 %	0.99983 %	0.999007 %	85417.83356666565
4000	32	64	|	704	-1	squared_l2
0.5751 %	0.68605 %	0.75212 %	0.8045159 %	|	0.9773 %	1.0 %	0.99854 %	1.0 %	0.9999 %	0.999184 %	93297.46770858765
4000	32	64	|	768	-1	squared_l2
0.5751 %	0.68605 %	0.75214 %	0.8046316 %	|	0.9773 %	1.0 %	0.99856 %	1.0 %	0.99992 %	0.999323 %	100981.22930526733
4000	32	64	|	1024	-1	squared_l2
0.5751 %	0.68604 %	0.752181 %	0.8049043 %	|	0.9773 %	1.0 %	0.99863 %	1.0 %	0.99999 %	0.999647 %	132582.1762084961
4000	48	64	|	1	-1	squared_l2
0.3261 %	0.31754 %	0.240296 %	0.1216466 %	|	0.3798 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	662.1949672698975
4000	48	64	|	16	-1	squared_l2
0.6959 %	0.7528 %	0.739099 %	0.6192884 %	|	0.903 %	0.9038 %	0.86572 %	0.9038 %	0.86572 %	0.788378 %	3674.777030944824
4000	48	64	|	32	-1	squared_l2
0.7256 %	0.79198 %	0.80583 %	0.7413741 %	|	0.9542 %	0.955 %	0.93265 %	0.955 %	0.93265 %	0.883154 %	6379.004716873169
4000	48	64	|	64	-1	squared_l2
0.7409 %	0.81037 %	0.840981 %	0.8232681 %	|	0.9829 %	0.9839 %	0.97086 %	0.9839 %	0.97086 %	0.943707 %	11307.530641555786
4000	48	64	|	128	-1	squared_l2
0.7467 %	0.81862 %	0.856839 %	0.8674899 %	|	0.9943 %	0.9955 %	0.98997 %	0.9955 %	0.98997 %	0.977148 %	20500.55170059204
4000	48	64	|	256	-1	squared_l2
0.7489 %	0.82101 %	0.863003 %	0.886922 %	|	0.9976 %	0.9988 %	0.99723 %	0.9988 %	0.99723 %	0.992765 %	38177.28638648987
4000	48	64	|	320	-1	squared_l2
0.7494 %	0.82126 %	0.8639 %	0.8900289 %	|	0.9982 %	0.9994 %	0.99814 %	0.9994 %	0.99814 %	0.995343 %	46415.45057296753
4000	48	64	|	384	-1	squared_l2
0.7493 %	0.82142 %	0.864413 %	0.8918272 %	|	0.9982 %	0.9994 %	0.99884 %	0.9994 %	0.99884 %	0.996798 %	55246.811389923096
4000	48	64	|	448	-1	squared_l2
0.7495 %	0.82154 %	0.86473 %	0.8929799 %	|	0.9984 %	0.9996 %	0.99926 %	0.9996 %	0.99926 %	0.997728 %	63540.260791778564
4000	48	64	|	512	-1	squared_l2
0.7495 %	0.82162 %	0.864939 %	0.893744 %	|	0.9986 %	0.9998 %	0.9995 %	0.9998 %	0.9995 %	0.998396 %	71329.57315444946
4000	48	64	|	576	-1	squared_l2
0.7496 %	0.82175 %	0.865073 %	0.8942736 %	|	0.9987 %	0.9999 %	0.99975 %	0.9999 %	0.99975 %	0.99883 %	78378.59010696411
4000	48	64	|	640	-1	squared_l2
0.7496 %	0.82178 %	0.865161 %	0.8946433 %	|	0.9987 %	0.9999 %	0.99983 %	0.9999 %	0.99983 %	0.999107 %	86329.93483543396
4000	48	64	|	704	-1	squared_l2
0.7496 %	0.82182 %	0.865216 %	0.8949213 %	|	0.9988 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.999288 %	94247.81250953674
4000	48	64	|	768	-1	squared_l2
0.7496 %	0.82181 %	0.865249 %	0.8951279 %	|	0.9988 %	1.0 %	0.99992 %	1.0 %	0.99992 %	0.999431 %	102484.50756072998
4000	48	64	|	1024	-1	squared_l2
0.7496 %	0.82184 %	0.865341 %	0.8955784 %	|	0.9988 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999759 %	133551.05805397034
4000	96	64	|	1	-1	squared_l2
0.369 %	0.32699 %	0.241402 %	0.1216466 %	|	0.3797 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	880.9571266174316
4000	96	64	|	16	-1	squared_l2
0.8517 %	0.84315 %	0.782969 %	0.6271251 %	|	0.9038 %	0.9038 %	0.86572 %	0.9038 %	0.86572 %	0.788378 %	6571.703672409058
4000	96	64	|	32	-1	squared_l2
