Program: faissGPU Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.5031 %	0.61908 %	0.673853 %	0.7128824 %	|	0.9425 %	0.9851 %	0.97052 %	0.9851 %	0.977 %	0.961666 %	3891.000270843506
6000	32	256	|	64	-1	squared_l2
0.5042 %	0.62272 %	0.680588 %	0.7252933 %	|	0.9502 %	0.9959 %	0.9857 %	0.9959 %	0.99326 %	0.986106 %	4225.968837738037
6000	32	256	|	128	-1	squared_l2
0.5045 %	0.62359 %	0.682764 %	0.7297986 %	|	0.9525 %	0.9991 %	0.99056 %	0.9992 %	0.99852 %	0.995301 %	4883.552074432373
6000	32	256	|	256	-1	squared_l2
0.5045 %	0.6238 %	0.683229 %	0.7309776 %	|	0.9527 %	0.9998 %	0.99162 %	0.9999 %	0.99975 %	0.997636 %	6310.723781585693
6000	32	256	|	320	-1	squared_l2
0.5045 %	0.62381 %	0.683262 %	0.7311044 %	|	0.9527 %	0.9998 %	0.99171 %	0.9999 %	0.99984 %	0.997868 %	7509.061336517334
6000	32	256	|	384	-1	squared_l2
0.5045 %	0.62381 %	0.683282 %	0.7311613 %	|	0.9527 %	0.9999 %	0.99179 %	1.0 %	0.99992 %	0.99799 %	8592.723369598389
6000	32	256	|	448	-1	squared_l2
0.5045 %	0.62381 %	0.683292 %	0.7311899 %	|	0.9527 %	0.9999 %	0.9918 %	1.0 %	0.99994 %	0.998051 %	9575.432777404785
6000	32	256	|	512	-1	squared_l2
0.5045 %	0.62382 %	0.683297 %	0.7312026 %	|	0.9527 %	0.9999 %	0.99182 %	1.0 %	0.99997 %	0.998081 %	10527.443885803223
6000	32	256	|	576	-1	squared_l2
0.5045 %	0.62383 %	0.683299 %	0.7312128 %	|	0.9527 %	0.9999 %	0.99183 %	1.0 %	0.99998 %	0.998097 %	11486.367464065552
6000	32	256	|	640	-1	squared_l2
