Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	20	|	60	-1	dot_product
0.1992 %	0.24653 %	0.308298 %	0.3870731 %	|	0.487 %	0.7515 %	0.59748 %	0.8954 %	0.85345 %	0.715363 %	257.24244117736816
800	0.2	20	|	65	-1	dot_product
0.1993 %	0.24675 %	0.308502 %	0.3876064 %	|	0.4878 %	0.7541 %	0.59829 %	0.9004 %	0.85638 %	0.717014 %	259.25588607788086
800	0.2	20	|	75	-1	dot_product
0.1995 %	0.247 %	0.308785 %	0.3884206 %	|	0.4886 %	0.7573 %	0.59932 %	0.9067 %	0.86088 %	0.719548 %	274.8138904571533
800	0.2	20	|	90	-1	dot_product
0.2001 %	0.24721 %	0.309104 %	0.3893123 %	|	0.4896 %	0.7614 %	0.60067 %	0.9153 %	0.86635 %	0.722375 %	295.2852249145508
800	0.2	20	|	110	-1	dot_product
0.2003 %	0.24737 %	0.309356 %	0.3900568 %	|	0.4905 %	0.7646 %	0.6017 %	0.9218 %	0.87116 %	0.724847 %	317.3105716705322
800	0.2	20	|	130	-1	dot_product
0.2004 %	0.24751 %	0.309516 %	0.3905247 %	|	0.4911 %	0.7672 %	0.60237 %	0.9267 %	0.8744 %	0.726381 %	343.18995475769043
800	0.2	20	|	150	-1	dot_product
0.2005 %	0.2476 %	0.309596 %	0.3908536 %	|	0.4915 %	0.768 %	0.6027 %	0.9304 %	0.87668 %	0.727537 %	367.69962310791016
800	0.2	20	|	170	-1	dot_product
0.2005 %	0.24761 %	0.309647 %	0.3910787 %	|	0.4916 %	0.7692 %	0.60302 %	0.9334 %	0.8783 %	0.728303 %	389.0366554260254
800	0.2	20	|	200	-1	dot_product
0.2005 %	0.24764 %	0.309699 %	0.3912882 %	|	0.4917 %	0.7702 %	0.60331 %	0.9365 %	0.88018 %	0.729124 %	419.4619655609131
800	0.2	20	|	220	-1	dot_product
0.2005 %	0.24764 %	0.309717 %	0.3913786 %	|	0.4917 %	0.7706 %	0.60337 %	0.9376 %	0.8809 %	0.729453 %	448.33970069885254
800	0.2	20	|	250	-1	dot_product
0.2005 %	0.24765 %	0.309744 %	0.3914747 %	|	0.4917 %	0.771 %	0.60355 %	0.9391 %	0.88173 %	0.729789 %	470.82042694091797
800	0.2	20	|	310	-1	dot_product
0.2005 %	0.24765 %	0.309771 %	0.3915802 %	|	0.4917 %	0.7715 %	0.60365 %	0.9406 %	0.88272 %	0.730202 %	528.984785079956
800	0.2	20	|	400	-1	dot_product
0.2005 %	0.24766 %	0.309783 %	0.3916325 %	|	0.4917 %	0.7716 %	0.60374 %	0.9417 %	0.88329 %	0.730388 %	620.1333999633789
800	0.2	20	|	500	-1	dot_product
0.2005 %	0.24766 %	0.309786 %	0.3916438 %	|	0.4917 %	0.7716 %	0.60376 %	0.942 %	0.88348 %	0.730447 %	709.8605632781982
800	0.2	20	|	800	-1	dot_product
0.2005 %	0.24766 %	0.309787 %	0.3916461 %	|	0.4917 %	0.7716 %	0.60377 %	0.942 %	0.88353 %	0.730458 %	975.0468730926514
800	0.2	10	|	1	-1	dot_product
0.0491 %	0.0782 %	0.130753 %	0.1820073 %	|	0.1496 %	0.2825 %	0.22784 %	0.3528 %	0.34416 %	0.298053 %	97.01848030090332
800	0.2	10	|	2	-1	dot_product
0.0561 %	0.08925 %	0.147832 %	0.2244983 %	|	0.1768 %	0.3568 %	0.27351 %	0.4816 %	0.46249 %	0.388754 %	101.70197486877441
800	0.2	10	|	4	-1	dot_product
0.0581 %	0.09387 %	0.15595 %	0.2465909 %	|	0.1898 %	0.4006 %	0.29791 %	0.5814 %	0.54669 %	0.444446 %	126.50012969970703
800	0.2	10	|	8	-1	dot_product
0.0597 %	0.09574 %	0.159474 %	0.257328 %	|	0.197 %	0.4284 %	0.30961 %	0.6528 %	0.59955 %	0.474434 %	143.01323890686035
800	0.2	10	|	16	-1	dot_product
0.0603 %	0.09644 %	0.160799 %	0.2620482 %	|	0.1993 %	0.4401 %	0.31447 %	0.6951 %	0.62734 %	0.487949 %	168.45178604125977
800	0.2	10	|	25	-1	dot_product
0.0604 %	0.09669 %	0.16119 %	0.2635307 %	|	0.2003 %	0.4433 %	0.31564 %	0.7123 %	0.63741 %	0.492604 %	185.75072288513184
800	0.2	10	|	30	-1	dot_product
0.0604 %	0.09676 %	0.161288 %	0.2639447 %	|	0.2004 %	0.444 %	0.31601 %	0.7164 %	0.64006 %	0.493716 %	193.28784942626953
800	0.2	10	|	35	-1	dot_product
0.0604 %	0.09679 %	0.161335 %	0.2642032 %	|	0.2005 %	0.4449 %	0.31619 %	0.7212 %	0.64233 %	0.494494 %	203.5844326019287
800	0.2	10	|	40	-1	dot_product
0.0604 %	0.09683 %	0.161365 %	0.2643981 %	|	0.2007 %	0.4455 %	0.31634 %	0.7235 %	0.64377 %	0.495077 %	207.8537940979004
800	0.2	10	|	45	-1	dot_product
0.0604 %	0.09686 %	0.161409 %	0.2645336 %	|	0.2008 %	0.4461 %	0.31652 %	0.7256 %	0.64473 %	0.495421 %	213.71936798095703
800	0.2	10	|	50	-1	dot_product
0.0604 %	0.09686 %	0.161429 %	0.2646391 %	|	0.2008 %	0.4462 %	0.31659 %	0.7276 %	0.6455 %	0.495744 %	218.22047233581543
800	0.2	10	|	55	-1	dot_product
0.0604 %	0.09687 %	0.16145 %	0.2647275 %	|	0.2009 %	0.4466 %	0.31667 %	0.7289 %	0.64609 %	0.495988 %	227.52690315246582
800	0.2	10	|	60	-1	dot_product
0.0604 %	0.09685 %	0.161458 %	0.2647895 %	|	0.2009 %	0.4465 %	0.31665 %	0.7306 %	0.64669 %	0.496187 %	233.03532600402832
800	0.2	10	|	65	-1	dot_product
0.0604 %	0.09685 %	0.161468 %	0.2648361 %	|	0.2009 %	0.4466 %	0.31667 %	0.7322 %	0.64706 %	0.496326 %	237.07938194274902
800	0.2	10	|	75	-1	dot_product
