Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.9715 %	0.97572 %	0.983086 %	0.9837924 %	|	0.9998 %	0.9998 %	0.9995 %	0.9998 %	0.9995 %	0.998396 %	4345.573663711548
4000	96	256	|	576	-1	squared_l2
0.9716 %	0.97584 %	0.983309 %	0.9848115 %	|	0.9999 %	0.9999 %	0.99975 %	0.9999 %	0.99975 %	0.99883 %	4772.183656692505
4000	96	256	|	640	-1	squared_l2
0.9716 %	0.97588 %	0.983447 %	0.9855135 %	|	0.9999 %	0.9999 %	0.99983 %	0.9999 %	0.99983 %	0.999107 %	5111.5782260894775
4000	96	256	|	704	-1	squared_l2
0.9717 %	0.97593 %	0.983537 %	0.9860236 %	|	1.0 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.999288 %	5283.303499221802
4000	96	256	|	768	-1	squared_l2
0.9717 %	0.97594 %	0.983607 %	0.9863973 %	|	1.0 %	1.0 %	0.99992 %	1.0 %	0.99992 %	0.999431 %	5799.693822860718
4000	96	256	|	1024	-1	squared_l2
0.9717 %	0.97599 %	0.983764 %	0.9871601 %	|	1.0 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999759 %	7183.736324310303
4000	96	256	|	1280	-1	squared_l2
0.9717 %	0.97599 %	0.983821 %	0.9874495 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999897 %	8300.83680152893
4000	96	256	|	1536	-1	squared_l2
0.9717 %	0.97599 %	0.983845 %	0.9875767 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999955 %	9410.170555114746
4000	96	256	|	2048	-1	squared_l2
0.9717 %	0.97599 %	0.983856 %	0.9876692 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99999 %	11847.943544387817
2000	12	256	|	1	-1	squared_l2
0.2003 %	0.26529 %	0.261463 %	0.1703397 %	|	0.3892 %	0.4232 %	0.37487 %	0.4239 %	0.37771 %	0.29541 %	1221.8611240386963
2000	12	256	|	16	-1	squared_l2
0.3086 %	0.43509 %	0.518544 %	0.5660136 %	|	0.754 %	0.9225 %	0.86201 %	0.9283 %	0.90477 %	0.845485 %	1277.916431427002
2000	12	256	|	32	-1	squared_l2
0.3118 %	0.44114 %	0.532107 %	0.6022881 %	|	0.7719 %	0.9626 %	0.8993 %	0.971 %	0.95701 %	0.915965 %	1352.4398803710938
2000	12	256	|	64	-1	squared_l2
0.3126 %	0.44306 %	0.537317 %	0.6189022 %	|	0.7789 %	0.9796 %	0.91492 %	0.9894 %	0.98381 %	0.953149 %	1401.318073272705
2000	12	256	|	128	-1	squared_l2
0.3128 %	0.44366 %	0.538876 %	0.6252841 %	|	0.7809 %	0.9854 %	0.92013 %	0.9968 %	0.99482 %	0.969163 %	1490.3960227966309
2000	12	256	|	256	-1	squared_l2
0.3128 %	0.4437 %	0.539217 %	0.6271463 %	|	0.7811 %	0.9864 %	0.92135 %	0.9989 %	0.99831 %	0.974146 %	1656.08811378479
2000	12	256	|	320	-1	squared_l2
0.3128 %	0.44372 %	0.539235 %	0.6273341 %	|	0.7813 %	0.9865 %	0.92145 %	0.9995 %	0.99882 %	0.974703 %	1673.4120845794678
2000	12	256	|	384	-1	squared_l2
0.3128 %	0.44372 %	0.53925 %	0.6274261 %	|	0.7813 %	0.9866 %	0.92151 %	0.9998 %	0.99903 %	0.974962 %	1667.1435832977295
2000	12	256	|	448	-1	squared_l2
0.3128 %	0.44372 %	0.539253 %	0.6274733 %	|	0.7813 %	0.9866 %	0.92152 %	0.9999 %	0.99912 %	0.97509 %	1715.038776397705
2000	12	256	|	512	-1	squared_l2
0.3128 %	0.44372 %	0.539249 %	0.6275017 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99917 %	0.975168 %	1771.0847854614258
2000	12	256	|	576	-1	squared_l2
0.3128 %	0.44372 %	0.539246 %	0.6275128 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99917 %	0.975191 %	1824.5677947998047
2000	12	256	|	640	-1	squared_l2
0.3128 %	0.44372 %	0.539246 %	0.6275192 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99919 %	0.975211 %	2089.4176959991455
2000	12	256	|	704	-1	squared_l2
0.3128 %	0.44372 %	0.539247 %	0.6275249 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99921 %	0.975228 %	2124.880075454712
2000	12	256	|	768	-1	squared_l2
0.3128 %	0.44372 %	0.539247 %	0.6275273 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99921 %	0.975235 %	2185.7669353485107
2000	12	256	|	1024	-1	squared_l2
0.3128 %	0.44372 %	0.539248 %	0.6275313 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99921 %	0.975239 %	2467.158079147339
2000	12	256	|	1280	-1	squared_l2
0.3128 %	0.44372 %	0.539249 %	0.6275328 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99921 %	0.975242 %	3151.1969566345215
2000	12	256	|	1536	-1	squared_l2
0.3128 %	0.44372 %	0.539249 %	0.6275314 %	|	0.7813 %	0.9866 %	0.92153 %	0.9999 %	0.99921 %	0.975244 %	3428.1702041625977
2000	24	256	|	1	-1	squared_l2
0.3034 %	0.33769 %	0.286872 %	0.170801 %	|	0.4211 %	0.4239 %	0.37769 %	0.4239 %	0.37771 %	0.295419 %	1225.3074645996094
2000	24	256	|	16	-1	squared_l2
0.5503 %	0.66137 %	0.703075 %	0.6730047 %	|	0.9125 %	0.9283 %	0.90455 %	0.9283 %	0.9048 %	0.848853 %	1319.1149234771729
2000	24	256	|	32	-1	squared_l2
0.5643 %	0.6793 %	0.736174 %	0.7471433 %	|	0.9513 %	0.971 %	0.95659 %	0.971 %	0.95714 %	0.924354 %	1376.8677711486816
2000	24	256	|	64	-1	squared_l2
0.5698 %	0.68739 %	0.751293 %	0.7861032 %	|	0.9684 %	0.9894 %	0.9833 %	0.9894 %	0.9841 %	0.967807 %	1452.8026580810547
2000	24	256	|	128	-1	squared_l2
0.5726 %	0.69017 %	0.757366 %	0.8035225 %	|	0.9748 %	0.9968 %	0.9943 %	0.9968 %	0.99532 %	0.9892 %	1572.7314949035645
2000	24	256	|	256	-1	squared_l2
0.5727 %	0.69077 %	0.759171 %	0.8099045 %	|	0.9762 %	0.999 %	0.99778 %	0.999 %	0.99892 %	0.997313 %	1764.4658088684082
2000	24	256	|	320	-1	squared_l2
0.5728 %	0.6909 %	0.759372 %	0.8107999 %	|	0.9766 %	0.9996 %	0.99834 %	0.9996 %	0.99952 %	0.998439 %	1761.8584632873535
2000	24	256	|	384	-1	squared_l2
0.5729 %	0.69095 %	0.759492 %	0.8112786 %	|	0.9768 %	0.9999 %	0.99857 %	0.9999 %	0.99975 %	0.999014 %	1828.7975788116455
2000	24	256	|	448	-1	squared_l2
0.573 %	0.69099 %	0.759556 %	0.8115454 %	|	0.9769 %	1.0 %	0.99868 %	1.0 %	0.99987 %	0.999345 %	1980.2734851837158
2000	24	256	|	512	-1	squared_l2
0.573 %	0.691 %	0.75959 %	0.811715 %	|	0.9769 %	1.0 %	0.99873 %	1.0 %	0.99993 %	0.999547 %	2079.4832706451416
2000	24	256	|	576	-1	squared_l2
0.573 %	0.691 %	0.759607 %	0.8118225 %	|	0.9769 %	1.0 %	0.99874 %	1.0 %	0.99994 %	0.999681 %	2158.0638885498047
2000	24	256	|	640	-1	squared_l2
0.573 %	0.691 %	0.759616 %	0.8118985 %	|	0.9769 %	1.0 %	0.99878 %	1.0 %	0.99998 %	0.999753 %	2239.155054092407
2000	24	256	|	704	-1	squared_l2
0.573 %	0.691 %	0.759624 %	0.8119421 %	|	0.9769 %	1.0 %	0.9988 %	1.0 %	1.0 %	0.999815 %	2354.10213470459
2000	24	256	|	768	-1	squared_l2
0.573 %	0.691 %	0.759625 %	0.8119729 %	|	0.9769 %	1.0 %	0.9988 %	1.0 %	1.0 %	0.999843 %	2609.1737747192383
2000	24	256	|	1024	-1	squared_l2
0.573 %	0.691 %	0.75963 %	0.8120298 %	|	0.9769 %	1.0 %	0.9988 %	1.0 %	1.0 %	0.999904 %	3084.9759578704834
2000	24	256	|	1280	-1	squared_l2
0.573 %	0.691 %	0.759633 %	0.8120463 %	|	0.9769 %	1.0 %	0.9988 %	1.0 %	1.0 %	0.999922 %	3818.54510307312
2000	24	256	|	1536	-1	squared_l2
0.573 %	0.691 %	0.759633 %	0.8120505 %	|	0.9769 %	1.0 %	0.9988 %	1.0 %	1.0 %	0.999923 %	4941.185235977173
2000	32	256	|	1	-1	squared_l2
0.3513 %	0.35571 %	0.291454 %	0.1708921 %	|	0.4236 %	0.4239 %	0.37771 %	0.4239 %	0.37771 %	0.295419 %	1204.6327590942383
2000	32	256	|	16	-1	squared_l2
0.6769 %	0.74906 %	0.765204 %	0.6992815 %	|	0.9261 %	0.9283 %	0.9048 %	0.9283 %	0.9048 %	0.848853 %	1296.2825298309326
2000	32	256	|	32	-1	squared_l2
0.6986 %	0.7738 %	0.80925 %	0.7908151 %	|	0.9682 %	0.971 %	0.95713 %	0.971 %	0.95714 %	0.924355 %	1367.9215908050537
2000	32	256	|	64	-1	squared_l2
0.7074 %	0.78491 %	0.829793 %	0.8421734 %	|	0.9863 %	0.9894 %	0.98409 %	0.9894 %	0.9841 %	0.967814 %	1427.9775619506836
2000	32	256	|	128	-1	squared_l2
0.7119 %	0.78857 %	0.838174 %	0.8656892 %	|	0.9937 %	0.9968 %	0.9953 %	0.9968 %	0.99532 %	0.98923 %	1542.503833770752
2000	32	256	|	256	-1	squared_l2
0.7126 %	0.78967 %	0.840818 %	0.8744563 %	|	0.9958 %	0.999 %	0.9989 %	0.999 %	0.99892 %	0.997367 %	1743.0827617645264
2000	32	256	|	320	-1	squared_l2
0.7127 %	0.7899 %	0.841141 %	0.8756761 %	|	0.9964 %	0.9996 %	0.9995 %	0.9996 %	0.99952 %	0.998496 %	1864.7170066833496
2000	32	256	|	384	-1	squared_l2
0.7128 %	0.78997 %	0.841309 %	0.8763472 %	|	0.9967 %	0.9999 %	0.99973 %	0.9999 %	0.99975 %	0.999079 %	1958.2560062408447
2000	32	256	|	448	-1	squared_l2
0.7129 %	0.79002 %	0.841403 %	0.8767465 %	|	0.9968 %	1.0 %	0.99985 %	1.0 %	0.99987 %	0.999413 %	2083.3263397216797
2000	32	256	|	512	-1	squared_l2
0.7129 %	0.79006 %	0.841461 %	0.8769953 %	|	0.9968 %	1.0 %	0.99991 %	1.0 %	0.99993 %	0.999619 %	2140.9854888916016
2000	32	256	|	576	-1	squared_l2
0.7129 %	0.79006 %	0.84149 %	0.8771541 %	|	0.9968 %	1.0 %	0.99992 %	1.0 %	0.99994 %	0.999754 %	2272.686004638672
2000	32	256	|	640	-1	squared_l2
0.7129 %	0.79007 %	0.841509 %	0.8772671 %	|	0.9968 %	1.0 %	0.99996 %	1.0 %	0.99998 %	0.999828 %	2566.8559074401855
2000	32	256	|	704	-1	squared_l2
0.7129 %	0.79008 %	0.841522 %	0.8773359 %	|	0.9968 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999891 %	2633.169651031494
2000	32	256	|	768	-1	squared_l2
