Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7855 %	0.84122 %	0.874769 %	0.8985914 %	|	0.9991 %	0.9996 %	0.99939 %	0.9996 %	0.99939 %	0.997836 %	129680.66787719727
1000	128	16	|	130	-1	squared_l2
0.7851 %	0.84135 %	0.875134 %	0.8999754 %	|	0.9993 %	0.9998 %	0.99975 %	0.9998 %	0.99975 %	0.998826 %	151110.04090309143
1000	128	16	|	150	-1	squared_l2
0.7851 %	0.84138 %	0.87532 %	0.9007233 %	|	0.9994 %	0.9999 %	0.99983 %	0.9999 %	0.99983 %	0.999345 %	172369.64750289917
1000	128	16	|	170	-1	squared_l2
0.7853 %	0.84138 %	0.875422 %	0.901145 %	|	0.9995 %	1.0 %	0.9999 %	1.0 %	0.9999 %	0.999631 %	192573.54426383972
1000	128	16	|	200	-1	squared_l2
0.7852 %	0.84146 %	0.875498 %	0.9014593 %	|	0.9995 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999834 %	223102.01478004456
1000	128	16	|	220	-1	squared_l2
0.7847 %	0.84147 %	0.875521 %	0.901564 %	|	0.9995 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999905 %	244322.69763946533
1000	128	16	|	250	-1	squared_l2
0.7851 %	0.84145 %	0.875541 %	0.9016471 %	|	0.9995 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999958 %	276530.68590164185
1000	128	16	|	310	-1	squared_l2
0.7853 %	0.84145 %	0.875549 %	0.901697 %	|	0.9995 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999988 %	334466.0716056824
1000	128	16	|	400	-1	squared_l2
0.7852 %	0.84145 %	0.87555 %	0.9017092 %	|	0.9995 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999999 %	423259.13286209106
1000	128	16	|	500	-1	squared_l2
