Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0856 %	0.2224 %	0.391723 %	0.4913828 %	|	0.3296 %	0.6831 %	0.61408 %	0.8949 %	0.87655 %	0.810649 %	10088.710308074951
4000	25	64	|	1	-1	dot_product
0.1771 %	0.29966 %	0.334309 %	0.1886106 %	|	0.3973 %	0.4625 %	0.43734 %	0.465 %	0.442 %	0.36293 %	456.99381828308105
4000	25	64	|	16	-1	dot_product
0.2704 %	0.45183 %	0.616325 %	0.6420247 %	|	0.6604 %	0.8631 %	0.83142 %	0.897 %	0.89007 %	0.863475 %	1754.455327987671
4000	25	64	|	32	-1	dot_product
0.2716 %	0.45494 %	0.623888 %	0.6671933 %	|	0.669 %	0.884 %	0.84813 %	0.9259 %	0.91788 %	0.897806 %	2798.0434894561768
4000	25	64	|	64	-1	dot_product
0.2723 %	0.45696 %	0.627394 %	0.6779829 %	|	0.6732 %	0.8948 %	0.85775 %	0.9436 %	0.9352 %	0.915787 %	4300.78387260437
4000	25	64	|	128	-1	dot_product
0.2723 %	0.45799 %	0.629601 %	0.6839605 %	|	0.6749 %	0.9018 %	0.86363 %	0.9541 %	0.94583 %	0.926872 %	6346.235275268555
4000	25	64	|	256	-1	dot_product
0.2728 %	0.45872 %	0.630947 %	0.6877986 %	|	0.6769 %	0.9062 %	0.86779 %	0.9613 %	0.95371 %	0.934569 %	9378.47876548767
4000	25	64	|	320	-1	dot_product
0.2728 %	0.45889 %	0.631288 %	0.6887604 %	|	0.6773 %	0.9074 %	0.86887 %	0.9633 %	0.95582 %	0.93678 %	10698.395013809204
4000	25	64	|	384	-1	dot_product
0.2728 %	0.45897 %	0.631517 %	0.6894732 %	|	0.6775 %	0.9085 %	0.86978 %	0.9649 %	0.95761 %	0.938451 %	11944.64111328125
4000	25	64	|	448	-1	dot_product
0.2728 %	0.45909 %	0.631679 %	0.6900123 %	|	0.6775 %	0.9096 %	0.87042 %	0.9667 %	0.95892 %	0.939694 %	13165.32564163208
4000	25	64	|	512	-1	dot_product
0.2728 %	0.45911 %	0.631834 %	0.6904916 %	|	0.6775 %	0.9102 %	0.87098 %	0.9676 %	0.96001 %	0.940783 %	14360.84532737732
4000	25	64	|	576	-1	dot_product
0.2728 %	0.45919 %	0.631948 %	0.690873 %	|	0.6775 %	0.9106 %	0.87152 %	0.9686 %	0.96122 %	0.941752 %	15523.717403411865
4000	25	64	|	640	-1	dot_product
0.2729 %	0.45921 %	0.632044 %	0.6911983 %	|	0.6776 %	0.9112 %	0.87187 %	0.9696 %	0.96203 %	0.942569 %	16693.073272705078
4000	25	64	|	704	-1	dot_product
0.2729 %	0.45923 %	0.6321 %	0.6914747 %	|	0.6776 %	0.9111 %	0.87203 %	0.97 %	0.96248 %	0.943172 %	17842.604160308838
4000	25	64	|	768	-1	dot_product
0.2729 %	0.45927 %	0.632211 %	0.691755 %	|	0.6776 %	0.9113 %	0.87233 %	0.9703 %	0.9631 %	0.943833 %	18993.332862854004
4000	25	64	|	1024	-1	dot_product
0.2729 %	0.45943 %	0.63247 %	0.6926069 %	|	0.678 %	0.9136 %	0.87327 %	0.973 %	0.96513 %	0.945958 %	23495.500087738037
4000	50	64	|	1	-1	dot_product
0.2889 %	0.38471 %	0.356379 %	0.1893656 %	|	0.4549 %	0.465 %	0.44186 %	0.465 %	0.44201 %	0.36297 %	602.3776531219482
4000	50	64	|	16	-1	dot_product
0.4895 %	0.66609 %	0.773824 %	0.732865 %	|	0.8474 %	0.8973 %	0.88756 %	0.8983 %	0.89217 %	0.869879 %	3213.0095958709717
4000	50	64	|	32	-1	dot_product
0.4964 %	0.67646 %	0.792436 %	0.7846755 %	|	0.8679 %	0.9263 %	0.91524 %	0.9282 %	0.92212 %	0.908791 %	5328.556299209595
4000	50	64	|	64	-1	dot_product
0.5002 %	0.68276 %	0.802068 %	0.8093531 %	|	0.8804 %	0.944 %	0.93268 %	0.9464 %	0.94108 %	0.930736 %	8341.514587402344
4000	50	64	|	128	-1	dot_product
0.5019 %	0.68623 %	0.807898 %	0.8237599 %	|	0.8877 %	0.9557 %	0.94351 %	0.9588 %	0.95346 %	0.944654 %	12441.746473312378
4000	50	64	|	256	-1	dot_product
0.5043 %	0.68888 %	0.81192 %	0.8335627 %	|	0.8929 %	0.9632 %	0.9516 %	0.9669 %	0.96265 %	0.954757 %	18538.001775741577
4000	50	64	|	320	-1	dot_product
0.5048 %	0.6896 %	0.813035 %	0.836166 %	|	0.8943 %	0.9652 %	0.9538 %	0.9689 %	0.96509 %	0.957733 %	21177.699089050293
4000	50	64	|	384	-1	dot_product
0.5051 %	0.6901 %	0.813872 %	0.8380972 %	|	0.8953 %	0.9669 %	0.95571 %	0.9708 %	0.96729 %	0.960023 %	23656.388521194458
4000	50	64	|	448	-1	dot_product
0.5055 %	0.6906 %	0.814451 %	0.8396175 %	|	0.8968 %	0.9687 %	0.95702 %	0.973 %	0.9689 %	0.961751 %	26115.313291549683
4000	50	64	|	512	-1	dot_product
0.5055 %	0.69087 %	0.814951 %	0.8409009 %	|	0.8971 %	0.9697 %	0.95814 %	0.9741 %	0.9702 %	0.96319 %	28534.16895866394
4000	50	64	|	576	-1	dot_product
