Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.019 %	0.034 %	0.07648 %	0.214292 %	|	0.084 %	0.273 %	0.1702 %	0.704 %	0.6016 %	0.42842 %	45.73678970336914
800	0.2	16	|	16	-1	dot_product
0.019 %	0.0331 %	0.07504 %	0.207334 %	|	0.081 %	0.275 %	0.1677 %	0.72 %	0.6048 %	0.42363 %	39.8564338684082
800	0.2	16	|	25	-1	dot_product
0.019 %	0.0336 %	0.07437 %	0.203634 %	|	0.08 %	0.27 %	0.1665 %	0.729 %	0.604 %	0.41914 %	43.07746887207031
800	0.2	16	|	30	-1	dot_product
0.019 %	0.0336 %	0.07434 %	0.202549 %	|	0.08 %	0.267 %	0.1665 %	0.726 %	0.6035 %	0.4178 %	54.62217330932617
800	0.2	16	|	35	-1	dot_product
0.019 %	0.0337 %	0.07418 %	0.201667 %	|	0.08 %	0.268 %	0.1663 %	0.729 %	0.6031 %	0.41617 %	52.536725997924805
800	0.2	16	|	40	-1	dot_product
0.019 %	0.0337 %	0.07395 %	0.201025 %	|	0.08 %	0.267 %	0.1661 %	0.731 %	0.6032 %	0.41512 %	47.509193420410156
800	0.2	16	|	45	-1	dot_product
0.019 %	0.0337 %	0.07389 %	0.200672 %	|	0.08 %	0.265 %	0.1658 %	0.731 %	0.604 %	0.41486 %	64.05925750732422
800	0.2	16	|	50	-1	dot_product
0.019 %	0.0337 %	0.07383 %	0.200363 %	|	0.08 %	0.265 %	0.1652 %	0.731 %	0.6034 %	0.41439 %	67.51084327697754
800	0.2	16	|	55	-1	dot_product
0.019 %	0.0337 %	0.07379 %	0.200116 %	|	0.08 %	0.265 %	0.1652 %	0.727 %	0.6022 %	0.41382 %	75.17862319946289
800	0.2	16	|	60	-1	dot_product
0.019 %	0.0337 %	0.07379 %	0.199913 %	|	0.08 %	0.265 %	0.1654 %	0.725 %	0.6024 %	0.4136 %	62.30354309082031
800	0.2	16	|	65	-1	dot_product
0.019 %	0.0337 %	0.0738 %	0.19978 %	|	0.08 %	0.265 %	0.1655 %	0.723 %	0.6027 %	0.41338 %	63.01450729370117
800	0.2	16	|	75	-1	dot_product
0.019 %	0.0337 %	0.07374 %	0.199522 %	|	0.08 %	0.265 %	0.1655 %	0.721 %	0.6023 %	0.41295 %	57.36112594604492
800	0.2	16	|	90	-1	dot_product
0.019 %	0.0337 %	0.07375 %	0.199342 %	|	0.08 %	0.265 %	0.1654 %	0.72 %	0.6018 %	0.41261 %	55.18293380737305
800	0.2	16	|	110	-1	dot_product
0.019 %	0.0337 %	0.07371 %	0.19924 %	|	0.08 %	0.265 %	0.1651 %	0.719 %	0.6013 %	0.41241 %	72.10516929626465
800	0.2	16	|	130	-1	dot_product
0.019 %	0.0337 %	0.07372 %	0.199163 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.6011 %	0.41233 %	73.45318794250488
800	0.2	16	|	150	-1	dot_product
0.019 %	0.0337 %	0.07372 %	0.199156 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.601 %	0.4123 %	63.718557357788086
800	0.2	16	|	170	-1	dot_product
