Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
0.3516 %	0.39137 %	0.433781 %	0.4982735 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883235 %	1282425.441980362
7000	0.2	48	|	3072	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.498273 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	1538122.9815483093
7000	0.2	48	|	4096	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.4982725 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	2059802.1762371063
7000	0.2	48	|	4608	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.4982725 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	2327910.595178604
7000	0.2	48	|	5120	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.4982725 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	2602404.141187668
7000	0.2	48	|	5632	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.4982725 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	2883984.7707748413
7000	0.2	48	|	6144	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.4982725 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	3171698.436498642
7000	0.2	48	|	6656	-1	squared_l2
0.3516 %	0.39138 %	0.433781 %	0.4982725 %	|	0.7089 %	0.9274 %	0.80637 %	0.9899 %	0.97519 %	0.883234 %	3474152.4982452393
7000	0.2	96	|	1	-1	squared_l2
0.3645 %	0.3824 %	0.367099 %	0.3326733 %	|	0.492 %	0.511 %	0.45514 %	0.5182 %	0.46418 %	0.409841 %	3256.3319206237793
7000	0.2	96	|	16	-1	squared_l2
0.6193 %	0.68514 %	0.722266 %	0.7443045 %	|	0.912 %	0.9415 %	0.92337 %	0.9505 %	0.93573 %	0.910406 %	20792.5865650177
7000	0.2	96	|	32	-1	squared_l2
0.6335 %	0.70076 %	0.744054 %	0.7772221 %	|	0.9365 %	0.9661 %	0.95595 %	0.975 %	0.96838 %	0.954164 %	38582.52692222595
7000	0.2	96	|	64	-1	squared_l2
0.6387 %	0.70675 %	0.753323 %	0.7922853 %	|	0.9456 %	0.9758 %	0.9693 %	0.9847 %	0.98168 %	0.974878 %	73468.00470352173
7000	0.2	96	|	128	-1	squared_l2
0.6411 %	0.70888 %	0.756736 %	0.7982939 %	|	0.9489 %	0.9793 %	0.97458 %	0.9882 %	0.98702 %	0.983463 %	141023.34809303284
7000	0.2	96	|	256	-1	squared_l2
0.6415 %	0.70945 %	0.757835 %	0.8002689 %	|	0.9502 %	0.9805 %	0.97617 %	0.9893 %	0.98862 %	0.986161 %	272283.81299972534
7000	0.2	96	|	320	-1	squared_l2
0.6414 %	0.70959 %	0.757959 %	0.8005486 %	|	0.9504 %	0.9806 %	0.97645 %	0.9896 %	0.9889 %	0.986544 %	337100.8379459381
7000	0.2	96	|	384	-1	squared_l2
0.6414 %	0.70962 %	0.758059 %	0.8006742 %	|	0.9505 %	0.9807 %	0.97656 %	0.9897 %	0.989 %	0.986715 %	401412.2326374054
7000	0.2	96	|	448	-1	squared_l2
0.6416 %	0.70967 %	0.758111 %	0.8007586 %	|	0.9505 %	0.9807 %	0.9766 %	0.9897 %	0.98904 %	0.986838 %	465340.4891490936
7000	0.2	96	|	512	-1	squared_l2
0.6414 %	0.70973 %	0.758162 %	0.8008057 %	|	0.9505 %	0.9807 %	0.97664 %	0.9897 %	0.98908 %	0.986904 %	529091.2191867828
7000	0.2	96	|	576	-1	squared_l2
0.6414 %	0.70975 %	0.758149 %	0.8008475 %	|	0.9505 %	0.9807 %	0.97665 %	0.9897 %	0.98909 %	0.986957 %	592834.9974155426
7000	0.2	96	|	640	-1	squared_l2
0.6414 %	0.70978 %	0.758144 %	0.8008616 %	|	0.9505 %	0.9807 %	0.97666 %	0.9897 %	0.9891 %	0.986984 %	656260.9097957611
7000	0.2	96	|	704	-1	squared_l2
0.6414 %	0.70975 %	0.758127 %	0.8008756 %	|	0.9505 %	0.9807 %	0.97667 %	0.9897 %	0.98911 %	0.987001 %	719666.6810512543
7000	0.2	96	|	768	-1	squared_l2
0.6414 %	0.70974 %	0.758143 %	0.8008842 %	|	0.9505 %	0.9807 %	0.97668 %	0.9897 %	0.98912 %	0.987016 %	782857.0485115051
7000	0.2	96	|	1024	-1	squared_l2
0.6414 %	0.70967 %	0.758161 %	0.8009028 %	|	0.9505 %	0.9807 %	0.97668 %	0.9897 %	0.98912 %	0.987035 %	1035715.2333259583
7000	0.2	96	|	1280	-1	squared_l2
0.6414 %	0.70974 %	0.758169 %	0.8009135 %	|	0.9505 %	0.9807 %	0.97669 %	0.9897 %	0.98913 %	0.987044 %	1288013.1149291992
7000	0.2	96	|	1536	-1	squared_l2
0.6414 %	0.70975 %	0.75816 %	0.8009171 %	|	0.9505 %	0.9807 %	0.97669 %	0.9897 %	0.98913 %	0.987046 %	1539083.7559700012
7000	0.2	96	|	2048	-1	squared_l2
0.6414 %	0.70975 %	0.758161 %	0.8009163 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	2042190.2730464935
7000	0.2	96	|	2560	-1	squared_l2
0.6414 %	0.70976 %	0.758164 %	0.8009157 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	2548125.3950595856
7000	0.2	96	|	3072	-1	squared_l2
0.6414 %	0.70976 %	0.758165 %	0.8009156 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	3058469.3989753723
7000	0.2	96	|	4096	-1	squared_l2
0.6414 %	0.70976 %	0.758165 %	0.8009159 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	4097959.3794345856
7000	0.2	96	|	4608	-1	squared_l2
0.6414 %	0.70976 %	0.758165 %	0.8009159 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	4629049.967050552
7000	0.2	96	|	5120	-1	squared_l2
0.6414 %	0.70976 %	0.758165 %	0.8009159 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	5177656.387090683
7000	0.2	96	|	5632	-1	squared_l2
0.6414 %	0.70976 %	0.758164 %	0.8009161 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	5739117.968082428
7000	0.2	96	|	6144	-1	squared_l2
0.6414 %	0.70976 %	0.758164 %	0.8009161 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	6323593.605995178
7000	0.2	96	|	6656	-1	squared_l2
0.6414 %	0.70976 %	0.758164 %	0.8009161 %	|	0.9505 %	0.9807 %	0.9767 %	0.9897 %	0.98914 %	0.987047 %	6955987.6704216
8000	0.55	48	|	1	-1	squared_l2
0.1833 %	0.19665 %	0.211228 %	0.2264645 %	|	0.3454 %	0.4545 %	0.35666 %	0.4991 %	0.43593 %	0.355557 %	2813.1415843963623
8000	0.55	48	|	16	-1	squared_l2
0.2697 %	0.3031 %	0.344702 %	0.4043603 %	|	0.5612 %	0.7991 %	0.64744 %	0.9172 %	0.86532 %	0.722725 %	10891.324758529663
8000	0.55	48	|	32	-1	squared_l2
0.2725 %	0.30748 %	0.350918 %	0.4149895 %	|	0.5705 %	0.818 %	0.66324 %	0.942 %	0.89382 %	0.749029 %	18879.103660583496
8000	0.55	48	|	64	-1	squared_l2
0.2743 %	0.30946 %	0.353434 %	0.4194016 %	|	0.5747 %	0.8242 %	0.66941 %	0.9502 %	0.90568 %	0.760492 %	34325.10018348694
8000	0.55	48	|	128	-1	squared_l2
0.2741 %	0.30972 %	0.354152 %	0.4209124 %	|	0.5756 %	0.8265 %	0.67176 %	0.9536 %	0.91031 %	0.764829 %	64467.257261276245
8000	0.55	48	|	256	-1	squared_l2
0.2742 %	0.30999 %	0.354314 %	0.4212036 %	|	0.5767 %	0.8268 %	0.67252 %	0.9546 %	0.91166 %	0.765904 %	122841.74084663391
8000	0.55	48	|	320	-1	squared_l2
0.2743 %	0.30999 %	0.354354 %	0.4212048 %	|	0.5766 %	0.8269 %	0.67252 %	0.9545 %	0.91178 %	0.766036 %	151632.64751434326
8000	0.55	48	|	384	-1	squared_l2
0.2742 %	0.30992 %	0.354364 %	0.4212251 %	|	0.5764 %	0.8271 %	0.67266 %	0.9547 %	0.91192 %	0.76609 %	180037.27173805237
8000	0.55	48	|	448	-1	squared_l2
0.2742 %	0.30999 %	0.354371 %	0.4212304 %	|	0.5766 %	0.8268 %	0.67263 %	0.9548 %	0.91196 %	0.76614 %	208446.84767723083
8000	0.55	48	|	512	-1	squared_l2
0.2742 %	0.31005 %	0.35439 %	0.421223 %	|	0.5766 %	0.8267 %	0.67257 %	0.9548 %	0.91197 %	0.766132 %	236666.6350364685
8000	0.55	48	|	576	-1	squared_l2
0.2742 %	0.31004 %	0.354375 %	0.4212228 %	|	0.5767 %	0.8268 %	0.67258 %	0.9549 %	0.91194 %	0.766159 %	264970.7827568054
8000	0.55	48	|	640	-1	squared_l2
0.2742 %	0.31004 %	0.354358 %	0.4212318 %	|	0.5767 %	0.8268 %	0.67248 %	0.9549 %	0.91195 %	0.766164 %	293005.5170059204
8000	0.55	48	|	704	-1	squared_l2
0.2742 %	0.31001 %	0.354349 %	0.421229 %	|	0.5767 %	0.8268 %	0.67256 %	0.9549 %	0.912 %	0.76618 %	321002.6957988739
8000	0.55	48	|	768	-1	squared_l2
0.2742 %	0.31002 %	0.354321 %	0.4212254 %	|	0.5767 %	0.8268 %	0.67253 %	0.9549 %	0.91197 %	0.766176 %	348992.27118492126
8000	0.55	48	|	1024	-1	squared_l2
0.2742 %	0.30995 %	0.354353 %	0.421219 %	|	0.5766 %	0.8268 %	0.67256 %	0.9549 %	0.91199 %	0.766186 %	460925.4367351532
8000	0.55	48	|	1280	-1	squared_l2
0.2742 %	0.30997 %	0.354367 %	0.4212207 %	|	0.5766 %	0.8268 %	0.67255 %	0.9549 %	0.91198 %	0.766183 %	572544.6453094482
8000	0.55	48	|	1536	-1	squared_l2
0.2742 %	0.30997 %	0.354365 %	0.4212129 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.76618 %	684051.5582561493
8000	0.55	48	|	2048	-1	squared_l2
0.2742 %	0.30998 %	0.354363 %	0.4212112 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91198 %	0.766169 %	906983.3607673645
8000	0.55	48	|	2560	-1	squared_l2
0.2742 %	0.30997 %	0.354365 %	0.4212109 %	|	0.5766 %	0.8268 %	0.67255 %	0.9549 %	0.91197 %	0.766167 %	1130923.8913059235
8000	0.55	48	|	3072	-1	squared_l2
0.2742 %	0.30996 %	0.354365 %	0.4212113 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766167 %	1355584.2168331146
8000	0.55	48	|	4096	-1	squared_l2
0.2742 %	0.30996 %	0.354363 %	0.4212126 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	1809891.5603160858
8000	0.55	48	|	4608	-1	squared_l2
0.2742 %	0.30996 %	0.354362 %	0.4212128 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2040610.5353832245
8000	0.55	48	|	5120	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.4212128 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2275718.6794281006
8000	0.55	48	|	5632	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.4212129 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2514594.316959381
8000	0.55	48	|	6144	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.4212129 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2758092.533826828
8000	0.55	48	|	6656	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	3006554.306745529
8000	0.55	48	|	7168	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	3252119.1971302032
8000	0.55	48	|	7680	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	3512977.214574814
8000	0.2	24	|	1	-1	squared_l2
0.1021 %	0.09677 %	0.111117 %	0.1425594 %	|	0.2136 %	0.3413 %	0.22604 %	0.4554 %	0.37052 %	0.265399 %	2606.5680980682373
8000	0.2	24	|	16	-1	squared_l2
