Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0293 %	0.03949 %	0.04372 %	0.0472165 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049833 %	538573.5034942627
8000	12	256	|	512	-1	squared_l2
0.0293 %	0.03949 %	0.04372 %	0.04722 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049834 %	608836.3599777222
8000	12	256	|	576	-1	squared_l2
0.0293 %	0.03949 %	0.04372 %	0.0472219 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049835 %	682946.0906982422
8000	12	256	|	640	-1	squared_l2
0.0293 %	0.03949 %	0.04372 %	0.0472226 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049837 %	756425.2424240112
8000	12	256	|	704	-1	squared_l2
0.0293 %	0.03949 %	0.043721 %	0.0472236 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049839 %	816356.7638397217
8000	12	256	|	768	-1	squared_l2
0.0293 %	0.03949 %	0.043721 %	0.0472238 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049839 %	885089.8456573486
8000	12	256	|	1024	-1	squared_l2
0.0293 %	0.03949 %	0.043721 %	0.047224 %	|	0.0454 %	0.0499 %	0.04982 %	0.0507 %	0.05133 %	0.049839 %	1158340.5590057373
6000	96	256	|	1	-1	squared_l2
0.0269 %	0.02587 %	0.022127 %	0.0192315 %	|	0.0269 %	0.027 %	0.02591 %	0.0272 %	0.02608 %	0.022309 %	27634.0389251709
6000	96	256	|	16	-1	squared_l2
0.0483 %	0.04901 %	0.046758 %	0.0452256 %	|	0.0483 %	0.0484 %	0.04906 %	0.0486 %	0.04922 %	0.046934 %	255109.11464691162
6000	96	256	|	32	-1	squared_l2
0.0498 %	0.05049 %	0.048759 %	0.0479283 %	|	0.0498 %	0.0499 %	0.05054 %	0.0501 %	0.0507 %	0.048938 %	478974.3900299072
6000	96	256	|	64	-1	squared_l2
0.0502 %	0.05105 %	0.049628 %	0.0493058 %	|	0.0502 %	0.0503 %	0.0511 %	0.0505 %	0.05126 %	0.049807 %	909784.517288208
6000	96	256	|	128	-1	squared_l2
0.0505 %	0.05125 %	0.049968 %	0.049912 %	|	0.0505 %	0.0506 %	0.05131 %	0.0508 %	0.05146 %	0.050149 %	1731825.032234192
6000	96	256	|	256	-1	squared_l2
0.0505 %	0.0513 %	0.050078 %	0.0501234 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05151 %	0.050259 %	3285106.48727417
6000	96	256	|	320	-1	squared_l2
0.0505 %	0.0513 %	0.05009 %	0.0501511 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05151 %	0.050271 %	4008795.7096099854
6000	96	256	|	384	-1	squared_l2
0.0505 %	0.0513 %	0.050098 %	0.050168 %	|	0.0505 %	0.0506 %	0.05134 %	0.0508 %	0.05151 %	0.050276 %	4777430.033683777
6000	96	256	|	448	-1	squared_l2
0.0505 %	0.0513 %	0.050101 %	0.0501761 %	|	0.0505 %	0.0506 %	0.05134 %	0.0508 %	0.05151 %	0.050279 %	5426919.708251953
6000	96	256	|	512	-1	squared_l2
0.0505 %	0.05131 %	0.050106 %	0.0501817 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05152 %	0.050284 %	6138818.426132202
6000	96	256	|	576	-1	squared_l2
0.0505 %	0.05131 %	0.050106 %	0.0501857 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05152 %	0.050284 %	6812430.429458618
6000	96	256	|	640	-1	squared_l2
0.0505 %	0.05131 %	0.050109 %	0.050189 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05152 %	0.050287 %	7538582.9973220825
6000	96	256	|	704	-1	squared_l2
0.0505 %	0.05131 %	0.05011 %	0.0501903 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05152 %	0.050288 %	8236651.148796082
6000	96	256	|	768	-1	squared_l2
0.0505 %	0.05131 %	0.050113 %	0.0501917 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05152 %	0.050291 %	9013332.705497742
6000	96	256	|	1024	-1	squared_l2
0.0505 %	0.05131 %	0.050113 %	0.0501952 %	|	0.0505 %	0.0506 %	0.05135 %	0.0508 %	0.05152 %	0.050291 %	11869079.508781433
6000	48	256	|	1	-1	squared_l2
0.0268 %	0.02588 %	0.022126 %	0.0192315 %	|	0.0269 %	0.0271 %	0.02593 %	0.0272 %	0.02608 %	0.022309 %	18805.1700592041
6000	48	256	|	16	-1	squared_l2
