Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0493 %	0.04999 %	0.049794 %	0.0501332 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049794 %	9635739.088058472
8000	128	256	|	1024	-1	squared_l2
0.0493 %	0.04999 %	0.049796 %	0.0501354 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	12649567.670822144
8000	64	256	|	1	-1	squared_l2
0.0218 %	0.02051 %	0.018404 %	0.0156238 %	|	0.0222 %	0.0222 %	0.02051 %	0.0222 %	0.02051 %	0.018404 %	24831.371307373047
8000	64	256	|	16	-1	squared_l2
0.0454 %	0.04641 %	0.044661 %	0.0426172 %	|	0.0469 %	0.0469 %	0.04641 %	0.0469 %	0.04641 %	0.044661 %	137021.58451080322
8000	64	256	|	32	-1	squared_l2
0.047 %	0.04859 %	0.047515 %	0.0464113 %	|	0.0486 %	0.0486 %	0.04859 %	0.0486 %	0.04859 %	0.047515 %	248060.99891662598
8000	64	256	|	64	-1	squared_l2
0.0481 %	0.0496 %	0.048977 %	0.0486234 %	|	0.0497 %	0.0497 %	0.0496 %	0.0497 %	0.0496 %	0.048977 %	454995.5654144287
8000	64	256	|	128	-1	squared_l2
0.0482 %	0.04991 %	0.049567 %	0.0496626 %	|	0.0498 %	0.0498 %	0.04991 %	0.0498 %	0.04991 %	0.049567 %	855121.1023330688
8000	64	256	|	256	-1	squared_l2
0.0482 %	0.04998 %	0.049752 %	0.0500318 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049752 %	1626921.0290908813
8000	64	256	|	320	-1	squared_l2
0.0482 %	0.04998 %	0.049771 %	0.0500773 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049771 %	1998562.2453689575
8000	64	256	|	384	-1	squared_l2
0.0482 %	0.04998 %	0.049784 %	0.0501007 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049784 %	2373081.703186035
8000	64	256	|	448	-1	squared_l2
0.0482 %	0.04998 %	0.049785 %	0.0501138 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049785 %	2746433.844566345
8000	64	256	|	512	-1	squared_l2
0.0482 %	0.04998 %	0.049785 %	0.0501211 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049785 %	3108170.5045700073
8000	64	256	|	576	-1	squared_l2
0.0482 %	0.04998 %	0.049788 %	0.0501264 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049788 %	3478817.310333252
8000	64	256	|	640	-1	squared_l2
0.0482 %	0.04998 %	0.049791 %	0.0501294 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049791 %	3855855.121612549
8000	64	256	|	704	-1	squared_l2
0.0482 %	0.04999 %	0.049792 %	0.0501314 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049792 %	4198412.051200867
8000	64	256	|	768	-1	squared_l2
0.0482 %	0.04999 %	0.049794 %	0.0501332 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049794 %	4546479.4063568115
8000	64	256	|	1024	-1	squared_l2
0.0482 %	0.04999 %	0.049796 %	0.0501354 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	5970466.794967651
8000	32	256	|	1	-1	squared_l2
0.0212 %	0.02051 %	0.018402 %	0.0156238 %	|	0.0222 %	0.0222 %	0.02051 %	0.0222 %	0.02051 %	0.018404 %	21004.066467285156
8000	32	256	|	16	-1	squared_l2
0.0426 %	0.0464 %	0.044657 %	0.0426172 %	|	0.0469 %	0.0469 %	0.04641 %	0.0469 %	0.04641 %	0.044661 %	82985.21518707275
8000	32	256	|	32	-1	squared_l2
0.044 %	0.04856 %	0.04751 %	0.0464112 %	|	0.0486 %	0.0486 %	0.04859 %	0.0486 %	0.04859 %	0.047515 %	144117.62237548828
8000	32	256	|	64	-1	squared_l2
0.045 %	0.04955 %	0.048971 %	0.0486231 %	|	0.0497 %	0.0497 %	0.0496 %	0.0497 %	0.0496 %	0.048977 %	260217.8144454956
8000	32	256	|	128	-1	squared_l2
0.0451 %	0.04986 %	0.04956 %	0.0496621 %	|	0.0498 %	0.0498 %	0.04991 %	0.0498 %	0.04991 %	0.049567 %	480826.0917663574
8000	32	256	|	256	-1	squared_l2
0.0451 %	0.04993 %	0.049744 %	0.050031 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049752 %	909208.4455490112
8000	32	256	|	320	-1	squared_l2
0.0451 %	0.04993 %	0.049763 %	0.0500764 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049771 %	1124990.8351898193
8000	32	256	|	384	-1	squared_l2
