Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.427 %	0.3702 %	0.29116 %	0.183849 %	|	0.431 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	212.80765533447266
1000	256	256	|	2	-1	squared_l2
0.589 %	0.5316 %	0.43872 %	0.298308 %	|	0.595 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	349.31015968322754
1000	256	256	|	4	-1	squared_l2
0.724 %	0.6884 %	0.59955 %	0.443929 %	|	0.732 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	659.3475341796875
1000	256	256	|	8	-1	squared_l2
0.832 %	0.8143 %	0.74509 %	0.603584 %	|	0.842 %	0.842 %	0.8184 %	0.842 %	0.8184 %	0.74572 %	1245.7997798919678
1000	256	256	|	16	-1	squared_l2
0.915 %	0.8999 %	0.85674 %	0.750399 %	|	0.927 %	0.927 %	0.9067 %	0.927 %	0.9067 %	0.85855 %	2399.4946479797363
1000	256	256	|	32	-1	squared_l2
0.957 %	0.9498 %	0.93204 %	0.866861 %	|	0.972 %	0.972 %	0.9607 %	0.972 %	0.9607 %	0.93599 %	4581.777334213257
1000	256	256	|	64	-1	squared_l2
0.974 %	0.9725 %	0.96948 %	0.941679 %	|	0.989 %	0.989 %	0.9864 %	0.989 %	0.9864 %	0.97671 %	8824.395656585693
1000	256	256	|	128	-1	squared_l2
0.981 %	0.9811 %	0.98379 %	0.977597 %	|	0.996 %	0.996 %	0.997 %	0.996 %	0.997 %	0.99391 %	17007.174730300903
1000	256	256	|	192	-1	squared_l2
0.984 %	0.983 %	0.98657 %	0.986342 %	|	0.999 %	0.999 %	0.9992 %	0.999 %	0.9992 %	0.99773 %	25041.89395904541
1000	256	256	|	256	-1	squared_l2
0.985 %	0.9834 %	0.98736 %	0.989028 %	|	1.0 %	1.0 %	0.9996 %	1.0 %	0.9996 %	0.99892 %	32711.81559562683
1000	256	256	|	512	-1	squared_l2
0.985 %	0.9836 %	0.98787 %	0.990898 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99999 %	63285.72773933411
800	32	16	|	1	-1	squared_l2
0.157 %	0.2165 %	0.23629 %	0.198988 %	|	0.34 %	0.404 %	0.3787 %	0.409 %	0.3932 %	0.31729 %	101.53055191040039
800	32	16	|	2	-1	squared_l2
0.194 %	0.2558 %	0.2975 %	0.287904 %	|	0.451 %	0.572 %	0.511 %	0.581 %	0.5539 %	0.46654 %	147.43947982788086
800	32	16	|	4	-1	squared_l2
0.203 %	0.2813 %	0.33937 %	0.360487 %	|	0.518 %	0.71 %	0.6248 %	0.734 %	0.7133 %	0.61569 %	211.7316722869873
800	32	16	|	8	-1	squared_l2
0.21 %	0.2934 %	0.36059 %	0.406465 %	|	0.551 %	0.809 %	0.6902 %	0.86 %	0.8342 %	0.7316 %	372.2493648529053
800	32	16	|	16	-1	squared_l2
0.21 %	0.2967 %	0.36796 %	0.428169 %	|	0.559 %	0.849 %	0.7176 %	0.935 %	0.9112 %	0.79592 %	681.2574863433838
800	32	16	|	32	-1	squared_l2
