Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	16	|	310	-1	squared_l2
0.022 %	0.0483 %	0.10478 %	0.215927 %	|	0.098 %	0.295 %	0.1996 %	0.618 %	0.53 %	0.38745 %	124.2830753326416
800	0.2	16	|	400	-1	squared_l2
0.022 %	0.0483 %	0.1047 %	0.215687 %	|	0.098 %	0.295 %	0.1996 %	0.617 %	0.5292 %	0.387 %	152.0383358001709
800	0.2	16	|	500	-1	squared_l2
0.022 %	0.0483 %	0.10464 %	0.215558 %	|	0.098 %	0.295 %	0.1994 %	0.617 %	0.529 %	0.3868 %	146.6224193572998
800	0.2	16	|	800	-1	squared_l2
0.022 %	0.0483 %	0.10464 %	0.215499 %	|	0.098 %	0.295 %	0.1994 %	0.617 %	0.5291 %	0.38672 %	209.86700057983398
800	0.4	256	|	1	-1	squared_l2
0.382 %	0.3605 %	0.30688 %	0.202408 %	|	0.422 %	0.422 %	0.3732 %	0.422 %	0.3732 %	0.30873 %	33.8902473449707
800	0.4	256	|	2	-1	squared_l2
0.527 %	0.5181 %	0.45732 %	0.327997 %	|	0.599 %	0.599 %	0.5449 %	0.599 %	0.5449 %	0.46293 %	48.64239692687988
800	0.4	256	|	4	-1	squared_l2
0.642 %	0.6555 %	0.60702 %	0.476022 %	|	0.749 %	0.749 %	0.7034 %	0.749 %	0.7034 %	0.62213 %	49.4990348815918
800	0.4	256	|	8	-1	squared_l2
0.739 %	0.7589 %	0.73477 %	0.629543 %	|	0.873 %	0.873 %	0.8327 %	0.873 %	0.8327 %	0.76417 %	47.82581329345703
800	0.4	256	|	16	-1	squared_l2
0.795 %	0.8189 %	0.8262 %	0.763024 %	|	0.95 %	0.95 %	0.9194 %	0.95 %	0.9194 %	0.87527 %	78.92322540283203
800	0.4	256	|	25	-1	squared_l2
0.816 %	0.8433 %	0.8632 %	0.828907 %	|	0.976 %	0.976 %	0.9559 %	0.976 %	0.9559 %	0.92594 %	100.2509593963623
800	0.4	256	|	30	-1	squared_l2
0.821 %	0.8487 %	0.87314 %	0.848834 %	|	0.982 %	0.982 %	0.9649 %	0.982 %	0.9649 %	0.94083 %	95.03960609436035
800	0.4	256	|	35	-1	squared_l2
