Program: faiss Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.04 %	0.046 %	0.0464 %	0.04885 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0464 %	6304319.381713867
8000	32	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.0493 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	11969001.293182373
8000	32	256	|	320	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04934 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	14770081.520080566
8000	32	256	|	384	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	17548835.75439453
8000	32	256	|	448	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04936 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	20304980.278015137
8000	32	256	|	512	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04937 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	23032582.759857178
8000	32	256	|	576	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04937 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	25671182.15560913
8000	32	256	|	640	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04938 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	28374054.431915283
8000	32	256	|	704	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04938 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	31042520.52307129
8000	32	256	|	768	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	33595819.95010376
8000	32	256	|	1024	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	42988320.35064697
8000	16	256	|	1	-1	squared_l2
0.02 %	0.019 %	0.0189 %	0.01564 %	|	0.03 %	0.03 %	0.019 %	0.03 %	0.019 %	0.019 %	268681.52618408203
8000	16	256	|	16	-1	squared_l2
0.02 %	0.041 %	0.0416 %	0.04239 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0423 %	639694.6907043457
8000	16	256	|	32	-1	squared_l2
0.02 %	0.043 %	0.0436 %	0.04555 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0445 %	995252.1324157715
8000	16	256	|	64	-1	squared_l2
0.02 %	0.043 %	0.0449 %	0.04751 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.046 %	1681986.3319396973
8000	16	256	|	128	-1	squared_l2
0.02 %	0.043 %	0.0451 %	0.04847 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0464 %	3033760.0708007812
8000	16	256	|	256	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04889 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	5638944.149017334
8000	16	256	|	320	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04892 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	6928639.888763428
8000	16	256	|	384	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04893 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	8202673.435211182
8000	16	256	|	448	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04894 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	9473013.401031494
8000	16	256	|	512	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04895 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	10725363.25454712
8000	16	256	|	576	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04895 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	11977952.003479004
8000	16	256	|	640	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04896 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	13228668.689727783
8000	16	256	|	704	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04896 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	14473982.810974121
8000	16	256	|	768	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04896 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	15720031.261444092
8000	16	256	|	1024	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04896 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	20679128.170013428
6000	128	256	|	1	-1	squared_l2
0.03 %	0.024 %	0.0196 %	0.01739 %	|	0.03 %	0.03 %	0.024 %	0.03 %	0.024 %	0.0196 %	470506.6680908203
6000	128	256	|	16	-1	squared_l2
0.04 %	0.044 %	0.0422 %	0.04313 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0422 %	4529681.68258667
6000	128	256	|	32	-1	squared_l2
0.04 %	0.046 %	0.0446 %	0.04628 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0446 %	8578268.52798462
6000	128	256	|	64	-1	squared_l2
0.04 %	0.046 %	0.0455 %	0.04802 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0455 %	16545838.356018066
6000	128	256	|	128	-1	squared_l2
0.04 %	0.046 %	0.0462 %	0.04897 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0462 %	31823740.482330322
6000	128	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.04927 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0468 %	57268396.854400635
6000	128	256	|	320	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.0493 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0468 %	68986410.14099121
6000	128	256	|	384	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04932 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	80616858.959198
6000	128	256	|	448	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	91895408.15353394
6000	128	256	|	512	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04936 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	100733066.08200073
6000	128	256	|	576	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04936 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	114885713.10043335
6000	128	256	|	640	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04938 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	126203395.84350586
6000	128	256	|	704	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	135062808.51364136
6000	128	256	|	768	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	143945804.59594727
6000	128	256	|	1024	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	194219460.96420288
6000	64	256	|	1	-1	squared_l2
0.03 %	0.024 %	0.0196 %	0.01739 %	|	0.03 %	0.03 %	0.024 %	0.03 %	0.024 %	0.0196 %	334175.58670043945
6000	64	256	|	16	-1	squared_l2
0.04 %	0.044 %	0.0422 %	0.04313 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0422 %	2220219.612121582
6000	64	256	|	32	-1	squared_l2
0.04 %	0.046 %	0.0446 %	0.04628 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0446 %	4154204.3685913086
6000	64	256	|	64	-1	squared_l2
0.04 %	0.046 %	0.0455 %	0.04802 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0455 %	7877652.645111084
6000	64	256	|	128	-1	squared_l2
0.04 %	0.046 %	0.0462 %	0.04897 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0462 %	15105421.543121338
6000	64	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.04927 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0468 %	29061570.644378662
6000	64	256	|	320	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.0493 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0468 %	35662392.139434814
6000	64	256	|	384	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04932 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	41536710.262298584
6000	64	256	|	448	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	46542149.06692505
6000	64	256	|	512	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04936 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	51869954.109191895
6000	64	256	|	576	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04936 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	56377097.12982178
6000	64	256	|	640	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04938 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	61176583.766937256
6000	64	256	|	704	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	65762010.09750366
6000	64	256	|	768	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	71134626.3885498
6000	64	256	|	1024	-1	squared_l2
