Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.27 %	0.255 %	0.3226 %	0.38124 %	|	0.53 %	0.81 %	0.611 %	0.86 %	0.759 %	0.6213 %	2178.335189819336
4000	0.2	16	|	25	-1	squared_l2
0.27 %	0.258 %	0.3352 %	0.42135 %	|	0.55 %	0.85 %	0.641 %	0.91 %	0.825 %	0.7044 %	2413.773536682129
4000	0.2	16	|	30	-1	squared_l2
0.28 %	0.255 %	0.3388 %	0.43258 %	|	0.53 %	0.86 %	0.656 %	0.93 %	0.852 %	0.7285 %	2505.159378051758
4000	0.2	16	|	35	-1	squared_l2
0.28 %	0.261 %	0.3405 %	0.44133 %	|	0.56 %	0.88 %	0.66 %	0.96 %	0.871 %	0.7457 %	2591.395378112793
4000	0.2	16	|	40	-1	squared_l2
0.28 %	0.259 %	0.3396 %	0.44652 %	|	0.57 %	0.89 %	0.67 %	0.97 %	0.885 %	0.7573 %	2672.696113586426
4000	0.2	16	|	45	-1	squared_l2
0.28 %	0.261 %	0.3422 %	0.45301 %	|	0.57 %	0.89 %	0.67 %	0.97 %	0.895 %	0.7746 %	2749.2523193359375
4000	0.2	16	|	50	-1	squared_l2
0.27 %	0.262 %	0.3447 %	0.45683 %	|	0.57 %	0.89 %	0.673 %	0.98 %	0.908 %	0.7869 %	2817.654609680176
4000	0.2	16	|	55	-1	squared_l2
0.26 %	0.254 %	0.3442 %	0.45919 %	|	0.55 %	0.88 %	0.677 %	0.98 %	0.917 %	0.7966 %	2893.948554992676
4000	0.2	16	|	60	-1	squared_l2
0.26 %	0.251 %	0.3431 %	0.46144 %	|	0.55 %	0.87 %	0.675 %	0.98 %	0.922 %	0.8033 %	2967.0000076293945
4000	0.2	16	|	65	-1	squared_l2
0.26 %	0.249 %	0.3431 %	0.46382 %	|	0.55 %	0.86 %	0.674 %	0.98 %	0.926 %	0.8099 %	3035.3546142578125
4000	0.2	16	|	75	-1	squared_l2
0.26 %	0.245 %	0.3446 %	0.46669 %	|	0.54 %	0.86 %	0.676 %	0.98 %	0.933 %	0.8181 %	3166.031837463379
4000	0.2	16	|	90	-1	squared_l2
0.26 %	0.244 %	0.3444 %	0.46969 %	|	0.55 %	0.85 %	0.673 %	0.98 %	0.937 %	0.8255 %	3380.2032470703125
4000	0.2	16	|	110	-1	squared_l2
0.26 %	0.246 %	0.3434 %	0.47111 %	|	0.56 %	0.85 %	0.675 %	0.98 %	0.947 %	0.832 %	3605.6995391845703
4000	0.2	16	|	130	-1	squared_l2
0.26 %	0.247 %	0.3431 %	0.47173 %	|	0.57 %	0.85 %	0.678 %	0.98 %	0.95 %	0.8357 %	3842.6637649536133
4000	0.2	16	|	150	-1	squared_l2
0.27 %	0.247 %	0.3421 %	0.4711 %	|	0.57 %	0.86 %	0.673 %	0.99 %	0.951 %	0.8358 %	4053.4257888793945
4000	0.2	16	|	170	-1	squared_l2
0.27 %	0.246 %	0.3419 %	0.47051 %	|	0.57 %	0.86 %	0.668 %	0.99 %	0.955 %	0.8352 %	4283.11824798584
4000	0.2	16	|	200	-1	squared_l2
0.26 %	0.245 %	0.3403 %	0.47 %	|	0.57 %	0.86 %	0.667 %	0.99 %	0.955 %	0.8355 %	4566.5740966796875
4000	0.2	16	|	220	-1	squared_l2
0.26 %	0.244 %	0.3406 %	0.4698 %	|	0.57 %	0.86 %	0.668 %	0.99 %	0.955 %	0.8351 %	4797.649383544922
4000	0.2	16	|	250	-1	squared_l2
0.26 %	0.244 %	0.3397 %	0.46884 %	|	0.57 %	0.86 %	0.668 %	0.99 %	0.956 %	0.8326 %	5018.424987792969
4000	0.2	16	|	310	-1	squared_l2
0.26 %	0.245 %	0.3401 %	0.46704 %	|	0.58 %	0.86 %	0.665 %	0.99 %	0.954 %	0.8304 %	5583.620071411133
4000	0.2	16	|	400	-1	squared_l2
0.26 %	0.245 %	0.3397 %	0.46568 %	|	0.58 %	0.87 %	0.667 %	1.0 %	0.953 %	0.8293 %	6389.975547790527
4000	0.2	16	|	500	-1	squared_l2
0.26 %	0.245 %	0.3393 %	0.46469 %	|	0.58 %	0.87 %	0.667 %	1.0 %	0.951 %	0.8281 %	7270.193099975586
4000	0.2	16	|	800	-1	squared_l2
0.26 %	0.245 %	0.3385 %	0.46329 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8267 %	9785.36605834961
4000	0.2	16	|	1000	-1	squared_l2
0.26 %	0.245 %	0.3381 %	0.46307 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8266 %	11293.435096740723
4000	0.2	16	|	1250	-1	squared_l2
