Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.09 %	0.252 %	0.4242 %	0.5133 %	|	0.43 %	0.65 %	0.605 %	0.72 %	0.738 %	0.7238 %	1678.2283782958984
4000	0.2	20	|	60	-1	dot_product
0.09 %	0.252 %	0.4245 %	0.51357 %	|	0.43 %	0.65 %	0.606 %	0.72 %	0.74 %	0.7252 %	1696.634292602539
4000	0.2	20	|	65	-1	dot_product
0.09 %	0.252 %	0.4247 %	0.51408 %	|	0.43 %	0.65 %	0.606 %	0.72 %	0.745 %	0.7274 %	1718.282699584961
4000	0.2	20	|	75	-1	dot_product
0.09 %	0.253 %	0.4255 %	0.51531 %	|	0.43 %	0.66 %	0.61 %	0.74 %	0.752 %	0.7322 %	1780.70068359375
4000	0.2	20	|	90	-1	dot_product
0.09 %	0.255 %	0.4272 %	0.51645 %	|	0.43 %	0.66 %	0.616 %	0.75 %	0.766 %	0.7395 %	1877.4747848510742
4000	0.2	20	|	110	-1	dot_product
0.09 %	0.255 %	0.4279 %	0.51726 %	|	0.43 %	0.66 %	0.616 %	0.75 %	0.771 %	0.7441 %	1995.9688186645508
4000	0.2	20	|	130	-1	dot_product
0.09 %	0.255 %	0.4282 %	0.51789 %	|	0.43 %	0.66 %	0.618 %	0.75 %	0.774 %	0.748 %	2094.697952270508
4000	0.2	20	|	150	-1	dot_product
0.09 %	0.256 %	0.4287 %	0.5186 %	|	0.44 %	0.67 %	0.619 %	0.76 %	0.778 %	0.752 %	2232.694625854492
4000	0.2	20	|	170	-1	dot_product
0.09 %	0.256 %	0.4293 %	0.51903 %	|	0.44 %	0.67 %	0.621 %	0.76 %	0.78 %	0.7548 %	2351.6416549682617
4000	0.2	20	|	200	-1	dot_product
0.09 %	0.256 %	0.4302 %	0.51944 %	|	0.44 %	0.67 %	0.624 %	0.76 %	0.79 %	0.7588 %	2529.454231262207
4000	0.2	20	|	220	-1	dot_product
0.09 %	0.256 %	0.4308 %	0.51949 %	|	0.44 %	0.67 %	0.625 %	0.76 %	0.791 %	0.7606 %	2623.0812072753906
4000	0.2	20	|	250	-1	dot_product
0.09 %	0.256 %	0.4319 %	0.52014 %	|	0.45 %	0.69 %	0.629 %	0.78 %	0.802 %	0.7661 %	2792.477607727051
4000	0.2	20	|	310	-1	dot_product
0.09 %	0.256 %	0.4324 %	0.52044 %	|	0.45 %	0.69 %	0.63 %	0.79 %	0.807 %	0.7687 %	3142.118453979492
4000	0.2	20	|	400	-1	dot_product
0.09 %	0.258 %	0.433 %	0.52085 %	|	0.46 %	0.71 %	0.636 %	0.83 %	0.817 %	0.7726 %	3701.901435852051
4000	0.2	20	|	500	-1	dot_product
0.09 %	0.259 %	0.4333 %	0.52104 %	|	0.46 %	0.71 %	0.639 %	0.83 %	0.825 %	0.7755 %	4280.734062194824
4000	0.2	20	|	800	-1	dot_product
0.09 %	0.26 %	0.4343 %	0.52191 %	|	0.47 %	0.73 %	0.642 %	0.85 %	0.835 %	0.783 %	6105.8759689331055
4000	0.2	20	|	1000	-1	dot_product
0.09 %	0.26 %	0.4347 %	0.52219 %	|	0.47 %	0.73 %	0.643 %	0.85 %	0.836 %	0.7842 %	7311.749458312988
4000	0.2	20	|	1250	-1	dot_product
0.09 %	0.26 %	0.4352 %	0.52234 %	|	0.47 %	0.73 %	0.646 %	0.85 %	0.84 %	0.7874 %	8936.047554016113
4000	0.2	20	|	1500	-1	dot_product
0.09 %	0.26 %	0.4358 %	0.52261 %	|	0.47 %	0.73 %	0.648 %	0.85 %	0.844 %	0.7905 %	10683.226585388184
4000	0.2	20	|	1750	-1	dot_product
0.09 %	0.261 %	0.4362 %	0.52274 %	|	0.47 %	0.73 %	0.65 %	0.85 %	0.847 %	0.7929 %	12272.953987121582
4000	0.2	20	|	1900	-1	dot_product
0.09 %	0.261 %	0.4366 %	0.52283 %	|	0.47 %	0.73 %	0.651 %	0.85 %	0.848 %	0.7942 %	13121.676445007324
4000	0.2	20	|	2000	-1	dot_product
0.09 %	0.261 %	0.4368 %	0.52285 %	|	0.47 %	0.73 %	0.651 %	0.85 %	0.849 %	0.7951 %	13642.525672912598
4000	0.2	20	|	2048	-1	dot_product
0.09 %	0.261 %	0.4368 %	0.52296 %	|	0.47 %	0.73 %	0.651 %	0.85 %	0.85 %	0.7957 %	13856.673240661621
4000	0.2	10	|	1	-1	dot_product
0.03 %	0.092 %	0.1585 %	0.11827 %	|	0.09 %	0.17 %	0.178 %	0.17 %	0.192 %	0.1944 %	1063.8236999511719
4000	0.2	10	|	2	-1	dot_product
0.04 %	0.113 %	0.2189 %	0.20703 %	|	0.13 %	0.31 %	0.286 %	0.33 %	0.339 %	0.3263 %	1119.375228881836
4000	0.2	10	|	4	-1	dot_product
0.03 %	0.128 %	0.2556 %	0.32205 %	|	0.14 %	0.42 %	0.361 %	0.46 %	0.466 %	0.462 %	1252.5081634521484
4000	0.2	10	|	8	-1	dot_product
0.03 %	0.132 %	0.2724 %	0.392 %	|	0.16 %	0.48 %	0.396 %	0.57 %	0.564 %	0.5587 %	1333.8565826416016
4000	0.2	10	|	16	-1	dot_product
0.03 %	0.134 %	0.2789 %	0.41635 %	|	0.17 %	0.49 %	0.401 %	0.58 %	0.6 %	0.591 %	1379.7760009765625
4000	0.2	10	|	25	-1	dot_product
0.03 %	0.135 %	0.2811 %	0.42201 %	|	0.17 %	0.51 %	0.407 %	0.62 %	0.624 %	0.609 %	1437.0203018188477
4000	0.2	10	|	30	-1	dot_product
0.03 %	0.135 %	0.2811 %	0.42278 %	|	0.17 %	0.51 %	0.407 %	0.64 %	0.63 %	0.6116 %	1465.153694152832
4000	0.2	10	|	35	-1	dot_product
0.03 %	0.135 %	0.2813 %	0.4231 %	|	0.17 %	0.51 %	0.408 %	0.64 %	0.635 %	0.6142 %	1484.084129333496
4000	0.2	10	|	40	-1	dot_product
0.03 %	0.135 %	0.2814 %	0.42312 %	|	0.17 %	0.51 %	0.409 %	0.64 %	0.638 %	0.616 %	1506.8292617797852
4000	0.2	10	|	45	-1	dot_product
0.03 %	0.135 %	0.2816 %	0.42326 %	|	0.17 %	0.51 %	0.41 %	0.65 %	0.644 %	0.6175 %	1529.3359756469727
4000	0.2	10	|	50	-1	dot_product
