Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.76 %	0.836 %	0.8905 %	0.90254 %	|	0.99 %	0.99 %	0.995 %	0.99 %	0.995 %	0.9908 %	636136.1265182495
1000	128	64	|	256	-1	squared_l2
0.77 %	0.838 %	0.893 %	0.91055 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	1251984.5247268677
1000	128	64	|	320	-1	squared_l2
0.77 %	0.838 %	0.8934 %	0.91149 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	1553548.240661621
1000	128	64	|	384	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91202 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	1855395.6985473633
1000	128	64	|	448	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91211 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	2092009.162902832
1000	128	64	|	512	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91226 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2294258.7852478027
1000	128	64	|	576	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91231 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2507743.5731887817
1000	128	64	|	640	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91232 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2718005.2518844604
1000	128	64	|	704	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91232 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2908865.809440613
1000	128	64	|	768	-1	squared_l2
0.77 %	0.838 %	0.8936 %	0.91233 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3117799.925804138
1000	256	64	|	1	-1	squared_l2
0.44 %	0.386 %	0.2883 %	0.18101 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	14196.80118560791
1000	256	64	|	16	-1	squared_l2
0.87 %	0.864 %	0.834 %	0.73022 %	|	0.9 %	0.9 %	0.886 %	0.9 %	0.886 %	0.8401 %	166077.6138305664
1000	256	64	|	32	-1	squared_l2
0.92 %	0.914 %	0.911 %	0.84971 %	|	0.95 %	0.95 %	0.945 %	0.95 %	0.945 %	0.9235 %	323035.00175476074
1000	256	64	|	64	-1	squared_l2
0.94 %	0.94 %	0.9499 %	0.92507 %	|	0.98 %	0.98 %	0.978 %	0.98 %	0.978 %	0.9692 %	634840.9175872803
1000	256	64	|	128	-1	squared_l2
